algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
Falcon-512,keygen,0,23088603,12.863678,12.849222,-1,1786043103.297
Falcon-512,keygen,1,23989684,13.348807,13.344444,-1,1786043103.297
Falcon-512,keygen,2,23087551,12.851623,12.847333,-1,1786043103.297
Falcon-512,keygen,3,55266078,30.746260,30.742111,-1,1786043103.297
Falcon-512,keygen,4,26790441,14.935436,14.910205,-1,1786043103.297
Falcon-512,keygen,5,39685300,22.087765,22.080352,-1,1786043103.297
Falcon-512,keygen,6,35102226,19.532415,19.528296,-1,1786043103.297
Falcon-512,keygen,7,29585289,16.507194,16.465962,-1,1786043103.297
Falcon-512,keygen,8,23999237,13.358196,13.353815,-1,1786043103.297
Falcon-512,keygen,9,37899865,21.111858,21.093925,-1,1786043103.297
Falcon-512,keygen,10,28727881,15.988084,15.983963,-1,1786043103.297
Falcon-512,keygen,11,27698749,15.409455,15.405241,-1,1786043103.297
Falcon-512,keygen,12,29656423,16.506491,16.502426,-1,1786043103.297
Falcon-512,keygen,13,30560457,17.010249,17.004667,-1,1786043103.297
Falcon-512,keygen,14,29619100,16.481435,16.477185,-1,1786043103.297
Falcon-512,keygen,15,27774188,15.455343,15.451092,-1,1786043103.297
Falcon-512,keygen,16,59298271,32.994907,32.990537,-1,1786043103.297
Falcon-512,keygen,17,46184009,25.697022,25.692944,-1,1786043103.297
Falcon-512,keygen,18,35144010,19.549841,19.545630,-1,1786043103.297
Falcon-512,keygen,19,33387889,18.581453,18.576796,-1,1786043103.297
Falcon-512,keygen,20,46134889,25.665948,25.661685,-1,1786043103.297
Falcon-512,keygen,21,25895167,14.418159,14.413926,-1,1786043103.297
Falcon-512,keygen,22,27726070,15.429084,15.424852,-1,1786043103.297
Falcon-512,keygen,23,23995197,13.351640,13.347352,-1,1786043103.297
Falcon-512,keygen,24,24033334,13.377325,13.373296,-1,1786043103.297
Falcon-512,keygen,25,40410069,22.479672,22.475333,-1,1786043103.297
Falcon-512,keygen,26,27809552,15.475639,15.471296,-1,1786043103.297
Falcon-512,keygen,27,23087933,12.847881,12.843630,-1,1786043103.297
Falcon-512,keygen,28,43460633,24.182486,24.178203,-1,1786043103.297
Falcon-512,keygen,29,24943486,13.883584,13.879389,-1,1786043103.297
Falcon-512,keygen,30,28557596,15.890620,15.886408,-1,1786043103.297
Falcon-512,keygen,31,42542538,23.668245,23.664148,-1,1786043103.297
Falcon-512,keygen,32,35229422,19.610415,19.606370,-1,1786043103.297
Falcon-512,keygen,33,34972360,19.455656,19.451388,-1,1786043103.297
Falcon-512,keygen,34,25906184,14.459825,14.428019,-1,1786043103.297
Falcon-512,keygen,35,23094015,12.851474,12.847185,-1,1786043103.297
Falcon-512,keygen,36,30508627,17.051509,16.999389,-1,1786043103.297
Falcon-512,keygen,37,23996508,13.351696,13.347500,-1,1786043103.297
Falcon-512,keygen,38,25851625,14.409492,14.391593,-1,1786043103.297
Falcon-512,keygen,39,23087534,12.848252,12.844074,-1,1786043103.297
Falcon-512,keygen,40,23094867,12.852918,12.848722,-1,1786043103.297
Falcon-512,keygen,41,60997762,33.929628,33.925296,-1,1786043103.297
Falcon-512,keygen,42,25798637,14.357955,14.353611,-1,1786043103.297
Falcon-512,keygen,43,24940750,13.879381,13.875018,-1,1786043103.297
Falcon-512,keygen,44,42559095,23.679116,23.674926,-1,1786043103.297
Falcon-512,keygen,45,24946196,13.885752,13.881444,-1,1786043103.297
Falcon-512,keygen,46,26835695,14.934195,14.930278,-1,1786043103.297
Falcon-512,keygen,47,26747874,14.881233,14.875907,-1,1786043103.297
Falcon-512,keygen,48,34175337,19.015749,19.011389,-1,1786043103.297
Falcon-512,keygen,49,24944989,13.882974,13.878963,-1,1786043103.297
Falcon-512,keygen,50,55444093,30.844094,30.839741,-1,1786043103.297
Falcon-512,keygen,51,24976705,13.903047,13.898796,-1,1786043103.297
Falcon-512,keygen,52,23991660,13.348956,13.344703,-1,1786043103.297
Falcon-512,keygen,53,29501545,16.415750,16.411426,-1,1786043103.297
Falcon-512,keygen,54,26791486,14.910158,14.905871,-1,1786043103.297
Falcon-512,keygen,55,25837343,14.378862,14.374908,-1,1786043103.297
Falcon-512,keygen,56,47817863,26.600707,26.596426,-1,1786043103.297
Falcon-512,keygen,57,23089827,12.850493,12.846334,-1,1786043103.297
Falcon-512,keygen,58,27742895,15.439528,15.435296,-1,1786043103.297
Falcon-512,keygen,59,23084261,12.844437,12.840167,-1,1786043103.297
Falcon-512,keygen,60,24936223,13.879455,13.875259,-1,1786043103.297
Falcon-512,keygen,61,23990753,13.348418,13.344240,-1,1786043103.297
Falcon-512,keygen,62,24035642,13.378715,13.374667,-1,1786043103.297
Falcon-512,keygen,63,37935816,21.124840,21.120740,-1,1786043103.297
Falcon-512,keygen,64,31297850,17.414324,17.409962,-1,1786043103.297
Falcon-512,keygen,65,26746366,14.886955,14.882704,-1,1786043103.297
Falcon-512,keygen,66,25924310,14.446862,14.432019,-1,1786043103.297
Falcon-512,keygen,67,46986610,26.156448,26.140407,-1,1786043103.297
Falcon-512,keygen,68,24980978,13.904418,13.900333,-1,1786043103.297
Falcon-512,keygen,69,24033169,13.372696,13.368463,-1,1786043103.297
Falcon-512,keygen,70,34067325,18.957433,18.953278,-1,1786043103.297
Falcon-512,keygen,71,36189534,20.134711,20.130574,-1,1786043103.297
Falcon-512,keygen,72,23090685,12.848993,12.844796,-1,1786043103.297
Falcon-512,keygen,73,39601647,22.033302,22.028982,-1,1786043103.297
Falcon-512,keygen,74,31298553,17.418713,17.414537,-1,1786043103.297
Falcon-512,keygen,75,26756689,14.885584,14.881296,-1,1786043103.297
Falcon-512,keygen,76,35922208,19.987322,19.983018,-1,1786043103.297
Falcon-512,keygen,77,23995398,13.358196,13.353074,-1,1786043103.297
Falcon-512,keygen,78,40768876,22.696968,22.691018,-1,1786043103.297
Falcon-512,keygen,79,25002050,13.919955,13.915537,-1,1786043103.297
Falcon-512,keygen,80,25882717,14.412677,14.408556,-1,1786043103.297
Falcon-512,keygen,81,24944669,13.879085,13.873870,-1,1786043103.297
Falcon-512,keygen,82,27647078,15.385268,15.381074,-1,1786043103.297
Falcon-512,keygen,83,25849079,14.382603,14.378370,-1,1786043103.297
Falcon-512,keygen,84,38940834,21.668507,21.663463,-1,1786043103.297
Falcon-512,keygen,85,24028978,13.369492,13.365296,-1,1786043103.297
Falcon-512,keygen,86,32211380,17.925990,17.921852,-1,1786043103.297
Falcon-512,keygen,87,40599536,22.618247,22.597592,-1,1786043103.297
Falcon-512,keygen,88,24040688,13.381530,13.377296,-1,1786043103.297
Falcon-512,keygen,89,28635908,15.936639,15.932333,-1,1786043103.297
Falcon-512,keygen,90,30481407,16.959212,16.954944,-1,1786043103.297
Falcon-512,keygen,91,23087088,12.847548,12.843352,-1,1786043103.297
Falcon-512,keygen,92,24932296,13.877399,13.873352,-1,1786043103.297
Falcon-512,keygen,93,30524798,16.989768,16.985518,-1,1786043103.297
Falcon-512,keygen,94,24936515,13.875196,13.870889,-1,1786043103.297
Falcon-512,keygen,95,36952570,20.602099,20.572741,-1,1786043103.297
Falcon-512,keygen,96,35093350,19.521674,19.517389,-1,1786043103.297
Falcon-512,keygen,97,31469801,17.580990,17.529074,-1,1786043103.297
Falcon-512,keygen,98,33296307,18.525601,18.521389,-1,1786043103.297
Falcon-512,keygen,99,33116366,18.447878,18.431037,-1,1786043103.297
Falcon-512,sign,0,1120090,0.630611,0.624500,655,1786043105.143
Falcon-512,sign,1,1146905,0.643518,0.639222,656,1786043105.143
Falcon-512,sign,2,1122993,0.630148,0.625982,652,1786043105.143
Falcon-512,sign,3,1135756,0.637222,0.633038,654,1786043105.143
Falcon-512,sign,4,1117386,0.633111,0.628982,658,1786043105.143
Falcon-512,sign,5,1136118,0.637482,0.633185,651,1786043105.143
Falcon-512,sign,6,1146351,0.643092,0.638907,656,1786043105.143
Falcon-512,sign,7,1118846,0.627815,0.623648,654,1786043105.143
Falcon-512,sign,8,1114397,0.625351,0.621148,652,1786043105.143
Falcon-512,sign,9,1151831,0.646166,0.641926,652,1786043105.143
Falcon-512,sign,10,1147525,0.649722,0.645648,651,1786043105.143
Falcon-512,sign,11,1164775,0.653314,0.649148,655,1786043105.143
Falcon-512,sign,12,1124627,0.630962,0.626815,657,1786043105.143
Falcon-512,sign,13,1161436,0.651500,0.647278,660,1786043105.143
Falcon-512,sign,14,1130276,0.634111,0.629926,655,1786043105.143
Falcon-512,sign,15,1131961,0.635092,0.630907,651,1786043105.143
Falcon-512,sign,16,1134587,0.643999,0.639963,656,1786043105.143
Falcon-512,sign,17,1138193,0.638593,0.634352,653,1786043105.143
Falcon-512,sign,18,1145887,0.642833,0.638648,657,1786043105.143
Falcon-512,sign,19,1142449,0.640889,0.636667,655,1786043105.143
Falcon-512,sign,20,1135345,0.636907,0.632778,658,1786043105.143
Falcon-512,sign,21,1150129,0.645203,0.640981,653,1786043105.143
Falcon-512,sign,22,1148872,0.644537,0.640277,658,1786043105.143
Falcon-512,sign,23,1136258,0.643463,0.639259,655,1786043105.143
Falcon-512,sign,24,1130945,0.634555,0.630352,655,1786043105.143
Falcon-512,sign,25,1143252,0.641407,0.637167,656,1786043105.143
Falcon-512,sign,26,1123378,0.630296,0.626129,655,1786043105.143
Falcon-512,sign,27,1132970,0.635684,0.631463,653,1786043105.143
Falcon-512,sign,28,1144958,0.642295,0.638167,659,1786043105.143
Falcon-512,sign,29,1116591,0.632536,0.628445,656,1786043105.143
Falcon-512,sign,30,1146714,0.643314,0.639130,655,1786043105.143
Falcon-512,sign,31,1136116,0.637425,0.633222,657,1786043105.143
Falcon-512,sign,32,1137290,0.638056,0.633815,655,1786043105.143
Falcon-512,sign,33,1129578,0.633796,0.629611,658,1786043105.143
Falcon-512,sign,34,1142599,0.641000,0.636834,653,1786043105.143
Falcon-512,sign,35,1119314,0.633870,0.629870,653,1786043105.143
Falcon-512,sign,36,1142153,0.640833,0.636574,654,1786043105.143
Falcon-512,sign,37,1104952,0.620055,0.615833,652,1786043105.143
Falcon-512,sign,38,1143926,0.641741,0.637556,656,1786043105.143
Falcon-512,sign,39,1136635,0.637647,0.633481,653,1786043105.143
Falcon-512,sign,40,1144826,0.642240,0.638000,652,1786043105.143
Falcon-512,sign,41,1156649,0.654759,0.650796,655,1786043105.143
Falcon-512,sign,42,1139422,0.639185,0.635000,654,1786043105.143
Falcon-512,sign,43,1144971,0.642277,0.638111,652,1786043105.143
Falcon-512,sign,44,1144610,0.642166,0.637945,653,1786043105.143
Falcon-512,sign,45,1124173,0.630777,0.626574,654,1786043105.143
Falcon-512,sign,46,1117115,0.626833,0.622630,651,1786043105.143
Falcon-512,sign,47,1130629,0.634295,0.630111,654,1786043105.143
Falcon-512,sign,48,1131236,0.640926,0.636852,654,1786043105.143
Falcon-512,sign,49,1127824,0.632815,0.628611,651,1786043105.143
Falcon-512,sign,50,1134472,0.636499,0.632315,655,1786043105.143
Falcon-512,sign,51,1142159,0.640722,0.636518,655,1786043105.143
Falcon-512,sign,52,1143993,0.641796,0.637593,654,1786043105.143
Falcon-512,sign,53,1145000,0.642296,0.638111,655,1786043105.143
Falcon-512,sign,54,1132730,0.641444,0.637314,655,1786043105.143
Falcon-512,sign,55,1129808,0.633907,0.629685,658,1786043105.143
Falcon-512,sign,56,1143960,0.641814,0.637592,659,1786043105.143
Falcon-512,sign,57,1123391,0.631370,0.626129,655,1786043105.143
Falcon-512,sign,58,1142508,0.640981,0.636797,653,1786043105.143
Falcon-512,sign,59,1147312,0.643573,0.639426,657,1786043105.143
Falcon-512,sign,60,1145081,0.648277,0.644222,656,1786043105.143
Falcon-512,sign,61,1136771,0.637814,0.633611,657,1786043105.143
Falcon-512,sign,62,1150020,0.645073,0.640908,653,1786043105.143
Falcon-512,sign,63,1135456,0.637018,0.632815,657,1786043105.143
Falcon-512,sign,64,1136913,0.637907,0.633630,657,1786043105.143
Falcon-512,sign,65,1142732,0.641092,0.636889,655,1786043105.143
Falcon-512,sign,66,1135490,0.637019,0.632871,653,1786043105.143
Falcon-512,sign,67,1152418,0.654833,0.650574,656,1786043105.143
Falcon-512,sign,68,1137116,0.638055,0.633814,654,1786043105.143
Falcon-512,sign,69,1116868,0.626722,0.622519,656,1786043105.143
Falcon-512,sign,70,1129805,0.633907,0.629685,656,1786043105.143
Falcon-512,sign,71,1147143,0.643463,0.639296,655,1786043105.143
Falcon-512,sign,72,1136208,0.637537,0.633240,655,1786043105.143
Falcon-512,sign,73,1150706,0.651593,0.647482,658,1786043105.143
Falcon-512,sign,74,1136671,0.637703,0.633537,652,1786043105.143
Falcon-512,sign,75,1134997,0.636758,0.632556,653,1786043105.143
Falcon-512,sign,76,1137326,0.638148,0.633871,655,1786043105.143
