algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
ML-DSA-87 (Dilithium5),keygen,0,764099,0.443333,0.426611,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,1,762136,0.429129,0.424907,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,2,761858,0.428814,0.424759,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,3,762057,0.428963,0.424907,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,4,762034,0.428870,0.424851,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,5,763846,0.436556,0.432407,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,6,748897,0.421722,0.417629,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,7,762426,0.429129,0.425111,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,8,762462,0.429204,0.425111,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,9,762099,0.428981,0.424907,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,10,761941,0.428925,0.424815,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,11,761205,0.428426,0.424389,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,12,754549,0.424796,0.420741,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,13,762406,0.429148,0.425055,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,14,763543,0.435481,0.431518,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,15,762700,0.429407,0.425278,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,16,761360,0.428574,0.424537,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,17,762229,0.429018,0.424982,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,18,761411,0.428574,0.424537,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,19,761177,0.429630,0.424407,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,20,762269,0.429203,0.425037,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,21,761826,0.428851,0.424797,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,22,755378,0.425240,0.421185,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,23,763861,0.435722,0.431704,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,24,755600,0.425370,0.421352,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,25,762147,0.429037,0.424926,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,26,761473,0.428630,0.424574,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,27,762047,0.428999,0.424889,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,28,761615,0.428704,0.424648,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,29,761529,0.428685,0.424574,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,30,761420,0.428610,0.424537,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,31,755064,0.425055,0.420981,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,32,761650,0.428740,0.424685,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,33,763457,0.435537,0.431407,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,34,762245,0.429055,0.425037,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,35,762047,0.428999,0.424888,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,36,761391,0.428574,0.424537,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,37,762001,0.428926,0.424852,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,38,761791,0.428815,0.424759,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,39,754542,0.424759,0.420685,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,40,755394,0.425277,0.421204,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,41,762018,0.428925,0.424889,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,42,764367,0.435944,0.431963,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,43,762724,0.429315,0.425277,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,44,762149,0.428982,0.424945,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,45,754601,0.424833,0.420778,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,46,761896,0.428796,0.424778,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,47,761637,0.428648,0.424630,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,48,761737,0.428796,0.424723,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,49,761577,0.428667,0.424611,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,50,762188,0.429019,0.424963,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,51,764210,0.435796,0.431814,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,52,762604,0.429241,0.425204,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,53,761704,0.428722,0.424704,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,54,762368,0.429074,0.425056,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,55,754959,0.425037,0.420945,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,56,761990,0.428944,0.424852,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,57,761645,0.428741,0.424667,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,58,762530,0.429222,0.425167,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,59,762321,0.429074,0.425037,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,60,761570,0.428740,0.424630,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,61,762820,0.434851,0.430815,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,62,762577,0.429241,0.425185,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,63,755473,0.425259,0.421241,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,64,762357,0.429110,0.425074,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,65,761810,0.428852,0.424741,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,66,761713,0.428722,0.424685,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,67,761835,0.428851,0.424759,-1,1786043102.580
ML-DSA-87 (Dilithium5),keygen,68,761868,0.428815,0.424778,-1,1786043102.580
