algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHA2-128s (SPHINCS+),keygen,0,288127534,160.237204,160.222296,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,1,287768627,160.021389,160.017444,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,2,288175646,160.365983,160.287870,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,3,288204156,160.285445,160.267777,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,4,288201427,160.292667,160.271999,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,5,287887041,160.098871,160.095036,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,6,287746474,160.020464,160.016092,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,7,287203264,159.708760,159.704944,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,8,287602673,159.935760,159.931962,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,9,288207276,160.372538,160.300461,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,10,287663095,159.962612,159.958740,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,11,288201404,160.337371,160.281981,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,12,288207330,160.272723,160.268685,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,13,288118638,160.221556,160.217740,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,14,287779478,160.025408,160.021610,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,15,288185028,160.434056,160.332260,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,16,287256909,159.743038,159.739111,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,17,282985333,157.470039,157.405296,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,18,273949494,152.346024,152.342092,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,19,274006549,152.371265,152.367481,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,20,273927106,152.324598,152.320907,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,21,273895932,152.352598,152.323722,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,22,274014389,152.481746,152.405350,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,23,273990588,152.378950,152.364222,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,24,273911716,152.375117,152.333092,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,25,273980576,152.363894,152.359907,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,26,273901289,152.310617,152.306814,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,27,273974291,152.368005,152.364221,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,28,273896882,152.403542,152.339536,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,29,273988249,152.447598,152.426795,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,30,274089435,152.673024,152.642167,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,31,274039556,152.517005,152.507222,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,32,273924917,152.437765,152.414684,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,33,273952547,152.344265,152.340499,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,34,274010792,152.374838,152.371129,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,35,273965228,152.483264,152.392833,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,36,274002378,152.401023,152.375944,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,37,273970121,152.406154,152.371462,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,38,273989372,152.368950,152.365074,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,39,273914022,152.317264,152.313463,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,40,273976095,152.351542,152.347814,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,41,273799321,152.259153,152.255389,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,42,273977155,152.456579,152.385296,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,43,273898810,152.325821,152.311796,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,44,273962411,152.352079,152.348185,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,45,274028620,152.390505,152.386759,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,46,273952990,152.339894,152.336129,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,47,274031523,152.387172,152.383370,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,48,273944917,152.364450,152.343926,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,49,273998212,152.441616,152.389371,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,50,273982815,152.423394,152.377926,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,51,274005556,152.377042,152.373018,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,52,274010312,152.382449,152.378648,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,53,273990773,152.361802,152.357962,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,54,273906730,152.313265,152.309444,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,55,273980834,152.449598,152.385777,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,56,274014068,152.410524,152.382278,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,57,273974449,152.353375,152.349222,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,58,273897337,152.336968,152.325241,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,59,273961727,152.346302,152.342611,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,60,273882910,152.303728,152.299944,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,61,273807161,152.255820,152.252018,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,62,274025860,152.487597,152.417276,-1,1786043111.687
SLH-DSA-SHA2-128s (SPHINCS+),keygen,63,273984057,152.402432,152.362944,-1,1786043111.687
