algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,0,672545923,374.419085,374.250073,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,1,661388224,368.050423,368.021424,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,2,661339590,367.750377,367.768943,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,3,661292860,367.878773,367.775313,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,4,661296916,367.805259,367.778591,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,5,661315908,367.720706,367.739258,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,6,661287576,367.875278,367.770812,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,7,661290944,367.705955,367.724425,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,8,661280430,367.705328,367.723406,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,9,661284812,367.896965,367.776034,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,10,661294686,367.708314,367.726665,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,11,661283458,367.793326,367.749850,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,12,661282805,367.765605,367.736146,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,13,661286237,367.700304,367.718554,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,14,661283325,367.847065,367.770019,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,15,661285791,367.758125,367.748740,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,16,661282062,367.692884,367.710795,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,17,661565509,368.027961,367.917907,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,18,661784340,368.063256,368.061777,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,19,661814972,368.001406,368.018850,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,20,661772470,368.280315,368.088945,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,21,661807018,368.028706,368.044831,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,22,661784827,368.081714,368.010832,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,23,661774391,368.058771,368.018626,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,24,661769531,367.976192,367.993721,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,25,661767352,368.136300,368.029020,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,26,661773177,368.038824,368.011611,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,27,661771161,367.970914,367.988332,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,28,661768762,368.136221,368.048370,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,29,661768848,367.973399,367.990832,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,30,661763721,367.978151,367.985259,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,31,661779934,368.155863,368.056112,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,32,661767378,367.983877,367.993739,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,33,661765287,368.010938,367.993702,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,34,661833309,368.605053,368.474851,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,35,661822958,368.031981,368.048295,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,36,661767320,368.112722,368.028128,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,37,661788435,368.144867,368.077943,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,38,661815682,368.002829,368.019517,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,39,661769607,368.112546,368.032293,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,40,661768687,367.969998,367.986814,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,41,661765017,367.981969,367.991054,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,42,661768825,368.128849,368.046127,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,43,661773302,367.971916,367.988592,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,44,661764425,367.992921,367.990499,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,45,661768241,368.076693,368.025902,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,46,661768526,367.987034,367.996388,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,47,661764654,368.004778,368.001979,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,48,661771036,368.097511,368.028257,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,49,661767302,367.986710,368.001684,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,50,661779397,368.119666,368.054904,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,51,661776139,368.134238,368.088129,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,52,661820829,368.029064,368.025500,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,53,661777480,368.219850,368.072148,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,54,661819881,368.048820,368.042517,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,55,661773783,367.989643,367.993981,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,56,661771995,368.122321,368.042775,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,57,661777685,367.987975,368.003776,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,58,661763776,367.984609,367.989091,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,59,661770447,368.116024,368.034832,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,60,661766752,368.028589,368.009202,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,61,661764740,367.996498,367.995313,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,62,661766652,368.040009,368.006778,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,63,661767485,368.002312,368.007128,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,64,661773524,368.119677,368.045256,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,65,661772701,367.968031,367.983517,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,66,661763008,368.002053,367.998776,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,67,661774843,368.081543,368.031793,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,68,661764249,367.969108,367.984517,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,69,661765490,368.020587,368.012202,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,70,661811011,368.178793,368.076332,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,71,661769977,367.988363,367.992906,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,72,661763587,367.969623,367.984869,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,73,661765674,368.069905,368.019796,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,74,661767555,368.078965,368.030146,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,75,661777338,368.148203,368.048365,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,76,661777573,367.997607,368.002498,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,77,661764772,368.011871,368.005073,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,78,661783489,368.096192,368.038832,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,79,661765412,367.971108,367.985832,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,80,661764506,368.030809,368.007908,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,81,661770580,368.077833,368.026885,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,82,661793320,368.250828,368.175276,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,83,661869515,368.332879,368.341332,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,84,661830951,368.225538,368.097313,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,85,661781192,368.024165,368.007666,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,86,661812230,368.122485,368.073054,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,87,661775046,368.055043,368.013166,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,88,661767090,368.028563,368.016110,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,89,661843149,368.571228,368.469425,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,90,661836337,368.155917,368.094628,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,91,661823583,368.074014,368.055388,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,92,661800214,368.173680,368.072686,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,93,661778367,368.021710,368.010999,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,94,661773713,368.031413,368.010610,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,95,661774134,368.085632,368.028183,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,96,661766944,367.994645,367.998128,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,97,661767076,368.018965,368.005089,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,98,661771361,368.076609,368.023889,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,99,661829620,368.378743,368.375849,-1,1786043247.009
SLH-DSA-SHAKE-128s (SPHINCS+),sign,0,5086301592,2828.850934,2828.617009,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,1,5087507584,2829.507998,2829.280322,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,2,5084788553,2827.837850,2827.630712,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,3,5084049703,2827.271728,2827.182510,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,4,5085407351,2828.530145,2828.322137,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,5,5090792693,2831.301512,2831.050785,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,6,5087017612,2829.092005,2828.911190,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,7,5088025138,2829.966945,2829.820025,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,8,5084537042,2828.036917,2827.831433,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,9,5084970075,2828.054707,2827.817099,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,10,5084200467,2827.368426,2827.256157,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,11,5086521314,2829.176312,2829.015914,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,12,5085013823,2827.997215,2827.781976,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,13,5089121025,2830.145940,2830.003875,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,14,5086283208,2828.705075,2828.466824,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,15,5084459326,2828.072694,2827.838192,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,16,5086197811,2828.528605,2828.383342,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,17,5087506107,2829.323558,2829.138949,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,18,5088413678,2830.408654,2830.210009,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,19,5084649108,2827.975186,2827.783546,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,20,5094074893,2833.108354,2832.869950,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,21,5084556111,2827.597895,2827.459709,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,22,5084952967,2828.421859,2828.144377,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,23,5087726564,2829.395748,2829.231079,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,24,5084659223,2827.723092,2827.550431,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,25,5084598980,2827.821221,2827.566678,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,26,5090148188,2831.414531,2831.103338,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,27,5087363551,2829.260819,2829.051838,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,28,5087473582,2829.536077,2829.444600,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,29,5087461923,2829.876991,2829.604324,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,30,5084864647,2828.014538,2827.725749,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,31,5085063520,2828.006736,2827.777937,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,32,5086216472,2828.500209,2828.356732,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,33,5085994890,2828.980176,2828.712642,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,34,5087874905,2829.614556,2829.370046,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,35,5084183428,2827.575206,2827.333008,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,36,5084447971,2828.062191,2827.827987,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,37,5084802648,2827.843315,2827.620137,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,38,5086643173,2828.773998,2828.615731,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,39,5088037819,2830.291478,2829.970030,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,40,5084360706,2827.961808,2827.745307,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,41,5085071810,2828.084130,2827.831784,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,42,5089263774,2830.311175,2830.084490,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,43,5086579336,2829.096930,2828.899378,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,44,5087091093,2829.297833,2829.033764,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,45,5092663220,2832.248007,2832.036302,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,46,5087896472,2829.760453,2829.469507,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,47,5085820024,2828.847447,2828.577157,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,48,5086268271,2828.658781,2828.446859,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,49,5086981792,2828.936067,2828.797454,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,50,5085487201,2828.715327,2828.443175,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,51,5088833282,2830.554879,2830.257552,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,52,5084998167,2827.971046,2827.762288,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,53,5084651896,2827.748487,2827.551191,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,54,5084889897,2828.340032,2828.064174,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,55,5084228674,2827.540977,2827.310622,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,56,5093028525,2832.498368,2832.252578,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,57,5084282837,2827.492030,2827.315189,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,58,5085602684,2828.694952,2828.493489,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,59,5086377314,2828.728864,2828.503495,7856,1786043287.015
SLH-DSA-SHAKE-128s (SPHINCS+),sign,60,5087202907,2829.394723,2829.156676,7856,1786043287.015
