algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
Falcon-1024,keygen,0,165147209,91.873130,91.857444,-1,1786041579.855
Falcon-1024,keygen,1,129862436,72.241481,72.236463,-1,1786041579.855
Falcon-1024,keygen,2,169373330,94.215352,94.210740,-1,1786041579.855
Falcon-1024,keygen,3,175403826,97.566888,97.562648,-1,1786041579.855
Falcon-1024,keygen,4,153544800,85.406297,85.402185,-1,1786041579.855
Falcon-1024,keygen,5,228854547,127.292796,127.288648,-1,1786041579.855
Falcon-1024,keygen,6,236168108,131.434222,131.380258,-1,1786041579.855
Falcon-1024,keygen,7,122854438,68.372408,68.340425,-1,1786041579.855
Falcon-1024,keygen,8,169310971,94.268593,94.201907,-1,1786041579.855
Falcon-1024,keygen,9,146719143,81.612389,81.608296,-1,1786041579.855
Falcon-1024,keygen,10,171142334,95.190518,95.186518,-1,1786041579.855
Falcon-1024,keygen,11,154423911,85.899167,85.895037,-1,1786041579.855
Falcon-1024,keygen,12,121925315,67.824741,67.820573,-1,1786041579.855
Falcon-1024,keygen,13,197589728,109.910296,109.906185,-1,1786041579.855
Falcon-1024,keygen,14,128897725,71.692407,71.688370,-1,1786041579.855
Falcon-1024,keygen,15,180869156,100.601037,100.596962,-1,1786041579.855
Falcon-1024,keygen,16,129819185,72.256518,72.216685,-1,1786041579.855
Falcon-1024,keygen,17,195761584,108.912037,108.886629,-1,1786041579.855
Falcon-1024,keygen,18,123767934,68.861593,68.846982,-1,1786041579.855
Falcon-1024,keygen,19,129856697,72.256815,72.238037,-1,1786041579.855
Falcon-1024,keygen,20,261338806,145.450481,145.388796,-1,1786041579.855
Falcon-1024,keygen,21,133508921,74.254500,74.250371,-1,1786041579.855
Falcon-1024,keygen,22,130740991,72.722333,72.718185,-1,1786041579.855
Falcon-1024,keygen,23,272330579,151.475167,151.471073,-1,1786041579.855
Falcon-1024,keygen,24,136798091,76.095166,76.090999,-1,1786041579.855
Falcon-1024,keygen,25,283243493,157.545889,157.541851,-1,1786041579.855
Falcon-1024,keygen,26,123758950,68.836796,68.832685,-1,1786041579.855
Falcon-1024,keygen,27,130731556,72.711333,72.707333,-1,1786041579.855
Falcon-1024,keygen,28,126524836,70.410648,70.385759,-1,1786041579.855
Falcon-1024,keygen,29,164688164,91.633407,91.606167,-1,1786041579.855
Falcon-1024,keygen,30,153509547,85.388426,85.384426,-1,1786041579.855
Falcon-1024,keygen,31,217078617,120.821389,120.762333,-1,1786041579.855
Falcon-1024,keygen,32,122843289,68.327797,68.323630,-1,1786041579.855
Falcon-1024,keygen,33,187836300,104.476444,104.472277,-1,1786041579.855
Falcon-1024,keygen,34,178515273,99.304593,99.292722,-1,1786041579.855
Falcon-1024,keygen,35,133497748,74.262018,74.257833,-1,1786041579.855
Falcon-1024,keygen,36,313778577,174.532129,174.527981,-1,1786041579.855
Falcon-1024,keygen,37,227345776,126.494797,126.462313,-1,1786041579.855
Falcon-1024,keygen,38,183247075,101.949333,101.926295,-1,1786041579.855
Falcon-1024,keygen,39,141429662,78.697611,78.680519,-1,1786041579.855
Falcon-1024,keygen,40,135891215,75.590388,75.586111,-1,1786041579.855
Falcon-1024,keygen,41,147458675,82.118037,82.049315,-1,1786041579.855
Falcon-1024,keygen,42,134424226,74.769130,74.764833,-1,1786041579.855
Falcon-1024,keygen,43,151647917,84.348296,84.344259,-1,1786041579.855
Falcon-1024,keygen,44,157479601,87.595481,87.591407,-1,1786041579.855
Falcon-1024,keygen,45,131653937,73.230463,73.226425,-1,1786041579.855
Falcon-1024,keygen,46,276532293,153.810759,153.806518,-1,1786041579.855
Falcon-1024,keygen,47,163241044,90.806370,90.801518,-1,1786041579.855
Falcon-1024,keygen,48,339335321,188.816296,188.788592,-1,1786041579.855
Falcon-1024,keygen,49,218681362,121.727852,121.673852,-1,1786041579.855
Falcon-1024,keygen,50,128950639,71.739777,71.735092,-1,1786041579.855
Falcon-1024,keygen,51,242363620,134.911037,134.841982,-1,1786041579.855
Falcon-1024,keygen,52,144686458,80.472981,80.468907,-1,1786041579.855
Falcon-1024,keygen,53,121915783,67.815815,67.810852,-1,1786041579.855
Falcon-1024,keygen,54,122842784,68.329037,68.324852,-1,1786041579.855
Falcon-1024,keygen,55,522378985,290.555777,290.551684,-1,1786041579.855
Falcon-1024,keygen,56,143768341,80.009555,79.972369,-1,1786041579.855
Falcon-1024,keygen,57,202710415,112.775444,112.749184,-1,1786041579.855
Falcon-1024,keygen,58,167458014,93.148296,93.144203,-1,1786041579.855
Falcon-1024,keygen,59,359000745,199.871000,199.749759,-1,1786041579.855
Falcon-1024,keygen,60,405387677,225.482352,225.478054,-1,1786041579.855
Falcon-1024,keygen,61,121921700,67.813370,67.809314,-1,1786041579.855
Falcon-1024,keygen,62,153507451,85.390037,85.385685,-1,1786041579.855
Falcon-1024,keygen,63,175747646,97.751611,97.747445,-1,1786041579.855
Falcon-1024,keygen,64,144694488,80.478908,80.474851,-1,1786041579.855
Falcon-1024,keygen,65,214839336,119.535352,119.507703,-1,1786041579.855
Falcon-1024,keygen,66,164177359,91.320333,91.315296,-1,1786041579.855
Falcon-1024,keygen,67,194389426,108.160296,108.132852,-1,1786041579.855
Falcon-1024,keygen,68,131669430,73.305481,73.257112,-1,1786041579.855
Falcon-1024,keygen,69,381963797,212.474648,212.460684,-1,1786041579.855
Falcon-1024,keygen,70,208001584,115.692908,115.688777,-1,1786041579.855
Falcon-1024,keygen,71,138641568,77.115445,77.111370,-1,1786041579.855
Falcon-1024,keygen,72,151665634,84.362278,84.358296,-1,1786041579.855
Falcon-1024,keygen,73,129821146,72.210796,72.206648,-1,1786041579.855
Falcon-1024,keygen,74,151150081,84.115370,84.079444,-1,1786041579.855
Falcon-1024,keygen,75,199048060,110.732278,110.717202,-1,1786041579.855
Falcon-1024,keygen,76,510334015,284.175629,284.060128,-1,1786041579.855
Falcon-1024,keygen,77,152655542,84.914000,84.909740,-1,1786041579.855
Falcon-1024,keygen,78,221266360,123.079852,123.075759,-1,1786041579.855
Falcon-1024,keygen,79,169307593,94.167296,94.163278,-1,1786041579.855
Falcon-1024,keygen,80,151666447,84.380278,84.365962,-1,1786041579.855
Falcon-1024,keygen,81,336964274,187.428888,187.424722,-1,1786041579.855
Falcon-1024,keygen,82,129817741,72.206574,72.202463,-1,1786041579.855
Falcon-1024,keygen,83,195251422,108.635537,108.608444,-1,1786041579.855
Falcon-1024,keygen,84,290015536,161.359833,161.321852,-1,1786041579.855
Falcon-1024,keygen,85,146561906,81.591129,81.541241,-1,1786041579.855
Falcon-1024,keygen,86,236691249,131.670111,131.655445,-1,1786041579.855
Falcon-1024,keygen,87,121922382,67.817185,67.813074,-1,1786041579.855
Falcon-1024,keygen,88,121926763,67.817148,67.813074,-1,1786041579.855
Falcon-1024,keygen,89,294316788,163.703593,163.699444,-1,1786041579.855
Falcon-1024,keygen,90,195888057,108.975092,108.970981,-1,1786041579.855
Falcon-1024,keygen,91,258285721,143.706019,143.669685,-1,1786041579.855
Falcon-1024,keygen,92,205926621,114.557463,114.541555,-1,1786041579.855
Falcon-1024,keygen,93,195388927,108.698797,108.690019,-1,1786041579.855
Falcon-1024,keygen,94,320878155,178.617518,178.529296,-1,1786041579.855
Falcon-1024,keygen,95,192070622,106.831722,106.827111,-1,1786041579.855
Falcon-1024,keygen,96,159560670,88.751741,88.747759,-1,1786041579.855
