algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
ML-DSA-87 (Dilithium5),keygen,0,866611,0.498778,0.483463,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,1,857851,0.491778,0.487463,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,2,856137,0.481148,0.477185,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,3,853921,0.479852,0.475926,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,4,853904,0.479815,0.475871,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,5,853607,0.479666,0.475759,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,6,853378,0.479500,0.475575,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,7,847859,0.476815,0.472685,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,8,855176,0.480482,0.476555,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,9,855399,0.489778,0.485555,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,10,849144,0.477203,0.473297,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,11,853781,0.479833,0.475870,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,12,852614,0.479092,0.475204,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,13,847223,0.476130,0.472167,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,14,852409,0.479000,0.475074,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,15,852976,0.479259,0.475334,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,16,852036,0.478759,0.474871,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,17,852355,0.478944,0.474982,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,18,855819,0.489389,0.485334,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,19,853477,0.479611,0.475686,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,20,853200,0.479389,0.475500,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,21,852862,0.479241,0.475315,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,22,846201,0.475556,0.471611,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,23,854340,0.480092,0.476130,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,24,852849,0.479204,0.475278,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,25,845300,0.475000,0.471111,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,26,856357,0.488018,0.484000,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,27,854043,0.479926,0.475962,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,28,854318,0.480037,0.476111,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,29,853243,0.479519,0.475537,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,30,852633,0.479056,0.475185,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,31,852422,0.478945,0.475074,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,32,853083,0.479314,0.475407,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,33,852570,0.479037,0.475167,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,34,854007,0.485833,0.481963,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,35,853592,0.479630,0.475722,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,36,844999,0.474870,0.470944,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,37,853382,0.479500,0.475593,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,38,853125,0.479333,0.475463,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,39,852401,0.478982,0.475092,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,40,853650,0.479611,0.475741,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,41,852723,0.479093,0.475223,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,42,853591,0.479593,0.475741,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,43,855510,0.486667,0.482666,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,44,853587,0.479685,0.475722,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,45,852596,0.479075,0.475185,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,46,846259,0.475500,0.471630,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,47,853738,0.479796,0.475778,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,48,853997,0.480037,0.476074,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,49,853035,0.479425,0.475407,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,50,853162,0.479388,0.475482,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,51,855844,0.488093,0.484074,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,52,854581,0.480241,0.476278,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,53,852512,0.479019,0.475074,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,54,853663,0.479667,0.475703,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,55,853124,0.480500,0.475445,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,56,854674,0.480278,0.476370,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,57,852750,0.479315,0.475223,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,58,852759,0.479112,0.475259,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,59,854346,0.487500,0.483593,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,60,854576,0.480129,0.476260,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,61,847371,0.476111,0.472241,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,62,853183,0.479370,0.475481,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,63,852887,0.479259,0.475315,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,64,845459,0.475129,0.471186,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,65,851716,0.478630,0.474685,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,66,853975,0.479870,0.475907,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,67,854009,0.479852,0.475963,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,68,856739,0.487371,0.483241,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,69,853767,0.479889,0.475833,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,70,846484,0.475704,0.471760,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,71,852583,0.479074,0.475167,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,72,838676,0.471315,0.467426,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,73,846526,0.475685,0.471814,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,74,852130,0.478852,0.474907,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,75,853104,0.479389,0.475463,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,76,849190,0.484426,0.480426,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,77,853360,0.479481,0.475592,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,78,853238,0.479388,0.475500,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,79,853436,0.479685,0.475630,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,80,845691,0.475259,0.471371,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,81,852701,0.479074,0.475167,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,82,853051,0.479351,0.475444,-1,1786041573.777
ML-DSA-87 (Dilithium5),keygen,83,852087,0.478778,0.474852,-1,1786041573.777
