algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHA2-128s (SPHINCS+),keygen,0,261713502,145.576574,145.549444,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,1,261699975,145.535797,145.531518,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,2,261758567,145.603815,145.577203,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,3,261736382,145.646222,145.580740,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,4,261723500,145.545296,145.541351,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,5,261737289,145.568370,145.557648,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,6,261713370,145.541982,145.538110,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,7,261768178,145.640629,145.619370,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,8,261725299,145.551759,145.547795,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,9,261752429,145.627203,145.594722,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,10,261747275,145.653129,145.589853,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,11,261578376,145.477037,145.467944,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,12,261820642,145.631536,145.626555,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,13,261715334,145.605222,145.562351,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,14,261744939,145.610889,145.570889,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,15,261707892,145.546648,145.542592,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,16,261651354,145.543037,145.519369,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,17,261760234,145.704056,145.597036,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,18,261673966,145.521296,145.517407,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,19,261724242,145.548370,145.544370,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,20,261699972,145.558704,145.544056,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,21,261697475,145.548000,145.533092,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,22,261609588,145.485759,145.481833,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,23,261663776,145.557185,145.533350,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,24,261731845,145.625370,145.569222,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,25,261637554,145.496667,145.492647,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,26,261698406,145.530888,145.527092,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,27,261610363,145.549704,145.501852,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,28,261574229,145.463056,145.459166,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,29,261732524,145.576648,145.568222,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,30,261680887,145.573815,145.539777,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,31,261722433,145.637685,145.575705,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,32,261755198,145.561111,145.557147,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,33,261674523,145.543352,145.527999,-1,1786041593.529
SLH-DSA-SHA2-128s (SPHINCS+),keygen,34,261734290,145.584278,145.558666,-1,1786041593.529
