algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,0,510416238,283.860668,283.832424,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,1,510415219,283.962688,283.866370,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,2,510416349,283.837098,283.827610,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,3,510414574,283.854431,283.841128,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,4,510417408,283.855172,283.847961,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,5,510454241,283.978024,283.888630,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,6,510421747,283.878452,283.845092,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,7,510412886,283.905193,283.855665,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,8,510424222,283.945248,283.870220,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,9,510410647,283.821064,283.818425,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,10,510478332,283.882768,283.869221,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,11,510598021,283.933749,283.930888,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,12,510473293,283.963303,283.893628,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,13,510409762,283.835898,283.825758,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,14,510410633,283.908620,283.855443,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,15,510446616,283.936619,283.911943,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,16,510424961,283.922060,283.864277,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,17,510413207,283.851452,283.826092,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,18,510409535,283.816989,283.814351,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,19,510411933,283.947224,283.862776,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,20,510410018,283.827653,283.824906,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,21,510409543,283.885764,283.839814,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,22,510411783,283.818691,283.815906,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,23,510411563,283.928775,283.859389,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,24,510410001,283.862464,283.848184,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,25,510424995,283.888446,283.877888,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,26,510541038,284.446196,284.321500,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,27,510520873,283.907311,283.903999,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,28,510421655,284.002144,283.880387,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,29,510423383,283.836034,283.833111,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,30,510439150,283.991189,283.886259,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,31,510421190,283.887639,283.847295,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,32,510409620,283.837066,283.833962,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,33,510411853,283.852927,283.831054,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,34,510412085,283.898355,283.844870,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,35,510408651,283.876410,283.831314,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,36,510412814,283.824393,283.821296,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,37,510411152,283.928805,283.856943,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,38,510408591,283.841607,283.819185,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,39,510406774,283.823089,283.820036,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,40,510407470,283.833466,283.819851,-1,1786042845.444
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,41,510410948,283.933080,283.864018,-1,1786042845.444
