algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
Falcon-1024,keygen,0,54856550,10.680077,10.659396,-1,1786042554.910
Falcon-1024,keygen,1,53292894,10.402331,10.362145,-1,1786042554.910
Falcon-1024,keygen,2,69742861,13.577336,13.552188,-1,1786042554.910
Falcon-1024,keygen,3,52829395,10.289453,10.266595,-1,1786042554.910
Falcon-1024,keygen,4,78095632,15.200489,15.174558,-1,1786042554.910
Falcon-1024,keygen,5,67254737,13.089545,13.068697,-1,1786042554.910
Falcon-1024,keygen,6,95904701,18.683918,18.639230,-1,1786042554.910
Falcon-1024,keygen,7,106165622,20.665964,20.629711,-1,1786042554.910
Falcon-1024,keygen,8,59377313,11.560852,11.538416,-1,1786042554.910
Falcon-1024,keygen,9,57084024,11.112798,11.092316,-1,1786042554.910
Falcon-1024,keygen,10,50660254,9.862061,9.844165,-1,1786042554.910
Falcon-1024,keygen,11,52360000,10.192594,10.174685,-1,1786042554.910
Falcon-1024,keygen,12,67560036,13.151184,13.128417,-1,1786042554.910
Falcon-1024,keygen,13,55412951,10.787625,10.768006,-1,1786042554.910
Falcon-1024,keygen,14,67535792,13.148173,13.123107,-1,1786042554.910
Falcon-1024,keygen,15,60134892,11.708069,11.685836,-1,1786042554.910
Falcon-1024,keygen,16,51745727,10.097486,10.072595,-1,1786042554.910
Falcon-1024,keygen,17,50665172,9.864161,9.845635,-1,1786042554.910
Falcon-1024,keygen,18,61397624,11.953184,11.930916,-1,1786042554.910
Falcon-1024,keygen,19,115367449,22.454674,22.417372,-1,1786042554.910
Falcon-1024,keygen,20,64874791,12.639642,12.609677,-1,1786042554.910
Falcon-1024,keygen,21,65436014,12.738971,12.716417,-1,1786042554.910
Falcon-1024,keygen,22,51184504,9.962458,9.945845,-1,1786042554.910
Falcon-1024,keygen,23,59585519,11.598771,11.578826,-1,1786042554.910
Falcon-1024,keygen,24,55874579,10.879333,10.858186,-1,1786042554.910
Falcon-1024,keygen,25,53751387,10.461200,10.444775,-1,1786042554.910
Falcon-1024,keygen,26,55382242,10.787474,10.764306,-1,1786042554.910
Falcon-1024,keygen,27,52753213,10.268003,10.251025,-1,1786042554.910
Falcon-1024,keygen,28,63932499,12.446636,12.423697,-1,1786042554.910
Falcon-1024,keygen,29,55472144,10.798245,10.779386,-1,1786042554.910
Falcon-1024,keygen,30,51689632,10.061596,10.044195,-1,1786042554.910
Falcon-1024,keygen,31,66546355,12.954638,12.931637,-1,1786042554.910
Falcon-1024,keygen,32,51733895,10.076316,10.056215,-1,1786042554.910
Falcon-1024,keygen,33,57560897,11.204537,11.184906,-1,1786042554.910
Falcon-1024,keygen,34,57469575,11.186948,11.167506,-1,1786042554.910
Falcon-1024,keygen,35,60610001,11.797587,11.777146,-1,1786042554.910
Falcon-1024,keygen,36,66053006,12.854809,12.835067,-1,1786042554.910
Falcon-1024,keygen,37,59224356,11.526852,11.508296,-1,1786042554.910
Falcon-1024,keygen,38,52260082,10.175275,10.155605,-1,1786042554.910
Falcon-1024,keygen,39,57067471,11.110088,11.089206,-1,1786042554.910
Falcon-1024,keygen,40,67564303,13.152634,13.129047,-1,1786042554.910
Falcon-1024,keygen,41,63305229,12.322568,12.301796,-1,1786042554.910
Falcon-1024,keygen,42,69786953,13.585156,13.561297,-1,1786042554.910
Falcon-1024,keygen,43,58706789,11.439554,11.412776,-1,1786042554.910
