algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
ML-DSA-44 (Dilithium2),keygen,0,53829,0.016599,0.011560,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,1,53529,0.013070,0.011410,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,2,53409,0.012980,0.011390,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,3,53346,0.012880,0.011380,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,4,52309,0.012669,0.011170,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,5,53406,0.012900,0.011390,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,6,53179,0.012850,0.011340,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,7,53404,0.012910,0.011410,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,8,53372,0.012890,0.011380,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,9,53153,0.012829,0.011330,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,10,53347,0.012880,0.011380,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,11,53077,0.012820,0.011320,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,12,53297,0.012870,0.011360,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,13,53159,0.012839,0.011330,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,14,53195,0.012850,0.011340,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,15,53355,0.012950,0.011380,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,16,53299,0.012880,0.011370,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,17,53292,0.012870,0.011360,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,18,53453,0.012899,0.011390,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,19,53418,0.012900,0.011390,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,20,53076,0.012840,0.011330,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,21,53304,0.012860,0.011370,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,22,53383,0.012879,0.011380,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,23,53554,0.012980,0.011410,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,24,53191,0.012850,0.011340,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,25,53038,0.012820,0.011310,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,26,53208,0.012860,0.011350,-1,1786042552.641
ML-DSA-44 (Dilithium2),keygen,27,53153,0.012839,0.011340,-1,1786042552.641
