algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHA2-128s (SPHINCS+),keygen,0,212079902,41.545345,41.472032,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,1,212082040,41.524266,41.459192,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,2,211965005,41.476346,41.410301,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,3,211931662,41.556835,41.486192,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,4,212048334,41.578455,41.504352,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,5,212144834,41.581225,41.514922,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,6,212165670,41.572014,41.502992,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,7,212125096,41.588785,41.503402,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,8,212186160,41.617524,41.548612,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,9,211978474,41.557365,41.481381,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,10,212231875,41.599804,41.527422,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,11,212202482,41.642764,41.575012,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,12,212084003,41.584154,41.488682,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,13,212083743,41.649763,41.582302,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,14,212152823,41.660764,41.588102,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,15,212175005,41.637013,41.564472,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,16,212335026,41.615734,41.549772,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,17,212148610,41.600195,41.529482,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,18,212210074,41.675492,41.593002,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,19,212286824,41.624334,41.556270,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,20,212190084,41.611434,41.536362,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,21,212150275,41.648663,41.578542,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,22,212233968,41.615795,41.547482,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,23,212092127,41.581744,41.509862,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,24,211952047,41.560275,41.485972,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,25,211934442,41.556545,41.491662,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,26,212432842,41.623314,41.554242,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,27,212010585,41.608224,41.536431,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,28,211961576,41.572065,41.499792,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,29,212245486,41.580634,41.483142,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,30,212234099,41.606974,41.538242,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,31,211939941,41.586875,41.515132,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,32,212208213,41.599004,41.512592,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,33,212113429,41.577905,41.508702,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,34,212104490,41.621604,41.546702,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,35,212037949,41.576364,41.504911,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,36,212031717,41.570265,41.500722,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,37,212152656,41.633244,41.561092,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,38,212214752,41.646793,41.570052,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,39,212097760,41.712362,41.645052,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,40,212463916,41.671943,41.601862,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,41,212114257,41.640534,41.568472,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,42,212057232,41.606954,41.539392,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,43,211974048,41.648763,41.580532,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,44,212055006,41.619954,41.548242,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,45,211841229,41.553365,41.481841,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,46,211853813,41.577675,41.501032,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,47,212231143,41.660293,41.590472,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,48,212006135,41.587244,41.523082,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,49,212151668,41.602845,41.534432,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,50,212118283,41.651413,41.581542,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,51,212205133,41.632103,41.567862,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,52,212246882,41.645734,41.568711,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,53,212140868,41.608484,41.534121,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,54,212207071,41.596814,41.514232,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,55,212237993,41.614684,41.522221,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,56,212094550,41.602445,41.533722,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,57,212052992,41.624133,41.532832,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,58,211809655,41.560865,41.488481,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,59,212080020,41.603454,41.538512,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,60,212287305,41.666933,41.592372,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,61,212160219,41.622744,41.551911,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,62,212006693,41.610364,41.538751,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,63,212313223,41.648064,41.580562,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,64,212120046,41.612303,41.541452,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,65,212152670,41.631354,41.562341,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,66,211816174,41.578405,41.499292,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,67,211821537,41.482126,41.413182,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,68,211832432,41.546325,41.474481,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,69,211795218,41.509876,41.447942,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,70,211729250,41.468556,41.399761,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,71,211928872,41.558075,41.465711,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,72,211719860,41.515686,41.434892,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,73,211839558,41.460076,41.391602,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,74,211796046,41.564885,41.467662,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,75,211820554,41.502526,41.430752,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,76,211807210,41.476396,41.410921,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,77,212955282,42.014637,41.938342,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,78,211853404,41.600914,41.535272,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,79,211733545,41.572695,41.503902,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,80,211886307,41.574705,41.508322,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,81,211881714,41.612974,41.520782,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,82,211969159,41.587064,41.520792,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,83,211738534,41.577445,41.510442,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,84,211721924,41.551215,41.477471,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,85,211924076,41.616074,41.549002,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,86,211856679,41.600084,41.517612,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,87,212076290,41.642053,41.568412,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,88,211976847,41.609684,41.538912,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,89,211862670,41.597985,41.519922,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,90,211873434,41.652073,41.575362,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,91,211996075,41.608214,41.541802,-1,1786042556.643
SLH-DSA-SHA2-128s (SPHINCS+),keygen,92,211701891,41.564195,41.493572,-1,1786042556.643
