algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,0,347899516,69.760329,69.622747,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,1,347758203,69.736418,69.609896,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,2,348559029,69.888327,69.766097,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,3,347653690,69.687549,69.574467,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,4,347738293,69.706989,69.574107,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,5,347855886,69.733649,69.613786,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,6,347979943,69.734949,69.619427,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,7,348075443,69.802537,69.678147,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,8,348066183,69.780778,69.663436,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,9,347799579,69.742609,69.614817,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,10,347683569,69.725179,69.598117,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,11,348128772,69.785628,69.670436,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,12,347761626,69.730288,69.602317,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,13,347573009,69.693790,69.576877,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,14,348043018,69.809247,69.691866,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,15,348099638,69.790518,69.665977,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,16,347649845,69.699069,69.585277,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,17,347683843,69.715539,69.591806,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,18,348077575,69.821477,69.676007,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,19,348306456,69.861167,69.714907,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,20,347893126,69.760878,69.640296,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,21,347892736,69.765608,69.639516,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,22,347724967,69.717729,69.605577,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,23,348455419,69.911616,69.785617,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,24,348213928,69.832537,69.703336,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,25,348163784,69.798558,69.684687,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,26,347933284,69.776268,69.654317,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,27,347639235,69.735528,69.587697,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,28,347510518,69.681810,69.562016,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,29,347823398,69.753078,69.632487,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,30,348341989,69.843597,69.727997,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,31,348128107,69.815337,69.698736,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,32,347857731,69.750469,69.628787,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,33,347990776,69.792777,69.664027,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,34,348492109,69.876417,69.764726,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,35,347799195,69.747558,69.609387,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,36,347981144,69.799677,69.671587,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,37,347789936,69.748419,69.608427,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,38,347878085,69.759468,69.635616,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,39,347870202,69.783958,69.656007,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,40,347805560,69.728329,69.609237,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,41,347985939,69.748858,69.633236,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,42,348746882,69.942505,69.814647,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,43,347726473,69.727679,69.599756,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,44,347888527,69.755868,69.635666,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,45,347788180,69.711179,69.595196,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,46,348124806,69.774528,69.656467,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,47,347961052,69.765528,69.641385,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,48,347566150,69.699509,69.568807,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,49,347769769,69.742139,69.626696,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,50,347651464,69.707309,69.594366,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,51,347863067,69.775488,69.653176,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,52,348057330,69.802447,69.681627,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,53,347970810,69.759078,69.644697,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,54,347854243,69.743059,69.627816,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,55,347852446,69.744568,69.624537,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,56,347883001,69.746349,69.628447,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,57,348003202,69.758298,69.648316,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,58,348052586,69.833157,69.711407,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,59,347568097,69.709419,69.591887,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,60,348494288,69.882226,69.762626,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,61,347976696,69.765988,69.651357,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,62,348028055,69.787317,69.653617,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,63,348274089,69.818568,69.709697,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,64,348031083,69.777428,69.651646,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,65,347992835,69.779007,69.649917,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,66,348133512,69.794478,69.678727,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,67,348084295,69.785557,69.662576,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,68,347931257,69.751169,69.635007,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,69,348153350,69.816617,69.689617,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,70,348203320,69.819237,69.697296,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,71,347967604,69.762468,69.641797,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,72,347602236,69.685480,69.561657,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,73,347839102,69.737488,69.617756,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,74,347963648,69.755708,69.641087,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,75,347875586,69.744799,69.628107,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,76,348033368,69.777927,69.668127,-1,1786042593.536
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,77,348033022,69.792868,69.664586,-1,1786042593.536
