algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
Falcon-1024,keygen,0,94410589,18.382704,18.346399,-1,1786042457.715
Falcon-1024,keygen,1,112875845,21.972504,21.934092,-1,1786042457.715
Falcon-1024,keygen,2,108890323,21.197576,21.159601,-1,1786042457.715
Falcon-1024,keygen,3,111603577,21.724118,21.686622,-1,1786042457.715
Falcon-1024,keygen,4,89392670,17.398312,17.370349,-1,1786042457.715
Falcon-1024,keygen,5,193169873,37.607845,37.539480,-1,1786042457.715
Falcon-1024,keygen,6,107274417,20.883552,20.845190,-1,1786042457.715
Falcon-1024,keygen,7,103885413,20.220214,20.186651,-1,1786042457.715
Falcon-1024,keygen,8,111622082,21.729237,21.690642,-1,1786042457.715
Falcon-1024,keygen,9,108893049,21.220627,21.160211,-1,1786042457.715
Falcon-1024,keygen,10,115526288,22.489494,22.448882,-1,1786042457.715
Falcon-1024,keygen,11,87232097,16.991669,16.954488,-1,1786042457.715
Falcon-1024,keygen,12,143249767,27.886442,27.835935,-1,1786042457.715
Falcon-1024,keygen,13,217278472,42.292615,42.220802,-1,1786042457.715
Falcon-1024,keygen,14,138666106,26.991077,26.945595,-1,1786042457.715
Falcon-1024,keygen,15,192087130,37.394529,37.328749,-1,1786042457.715
Falcon-1024,keygen,16,87237405,16.982589,16.952309,-1,1786042457.715
Falcon-1024,keygen,17,149340677,29.072512,29.021325,-1,1786042457.715
Falcon-1024,keygen,18,113240595,22.041492,22.005462,-1,1786042457.715
Falcon-1024,keygen,19,108410043,21.100588,21.065771,-1,1786042457.715
Falcon-1024,keygen,20,87238358,16.981259,16.952259,-1,1786042457.715
Falcon-1024,keygen,21,95481322,18.586721,18.553780,-1,1786042457.715
Falcon-1024,keygen,22,128238878,24.962852,24.919023,-1,1786042457.715
Falcon-1024,keygen,23,97788092,19.033594,19.001800,-1,1786042457.715
Falcon-1024,keygen,24,113229154,22.039922,22.002332,-1,1786042457.715
Falcon-1024,keygen,25,206439768,40.179902,40.114131,-1,1786042457.715
Falcon-1024,keygen,26,97250729,18.943125,18.900650,-1,1786042457.715
Falcon-1024,keygen,27,305377265,59.461050,59.338721,-1,1786042457.715
Falcon-1024,keygen,28,119985781,23.357990,23.315602,-1,1786042457.715
Falcon-1024,keygen,29,138803674,27.014457,26.971854,-1,1786042457.715
Falcon-1024,keygen,30,98958862,19.260500,19.228731,-1,1786042457.715
Falcon-1024,keygen,31,145043724,28.229886,28.183504,-1,1786042457.715
Falcon-1024,keygen,32,182368637,35.529281,35.439458,-1,1786042457.715
Falcon-1024,keygen,33,119453484,23.249992,23.212002,-1,1786042457.715
Falcon-1024,keygen,34,170567977,33.205440,33.146358,-1,1786042457.715
Falcon-1024,keygen,35,97257066,18.931376,18.898950,-1,1786042457.715
Falcon-1024,keygen,36,105626414,20.568577,20.525921,-1,1786042457.715
Falcon-1024,keygen,37,87855035,17.106317,17.072129,-1,1786042457.715
Falcon-1024,keygen,38,161727525,31.509910,31.429726,-1,1786042457.715
Falcon-1024,keygen,39,87250209,16.990208,16.954629,-1,1786042457.715
Falcon-1024,keygen,40,107807264,20.988241,20.948831,-1,1786042457.715
Falcon-1024,keygen,41,87777796,17.086857,17.056929,-1,1786042457.715
Falcon-1024,keygen,42,92794248,18.063470,18.031850,-1,1786042457.715
Falcon-1024,keygen,43,162199986,31.572849,31.518466,-1,1786042457.715
Falcon-1024,keygen,44,189471105,36.877608,36.818180,-1,1786042457.715
Falcon-1024,keygen,45,87219474,16.976269,16.948779,-1,1786042457.715
Falcon-1024,keygen,46,138241269,26.916468,26.865564,-1,1786042457.715
Falcon-1024,keygen,47,127890497,24.892684,24.850813,-1,1786042457.715
Falcon-1024,keygen,48,97801994,19.040273,19.005450,-1,1786042457.715
Falcon-1024,keygen,49,97291983,18.937226,18.905340,-1,1786042457.715
Falcon-1024,keygen,50,172629145,33.598404,33.544137,-1,1786042457.715
Falcon-1024,keygen,51,303258052,59.034578,58.926811,-1,1786042457.715
Falcon-1024,keygen,52,108228243,21.074288,21.033472,-1,1786042457.715
Falcon-1024,keygen,53,113955334,22.182950,22.143200,-1,1786042457.715
Falcon-1024,keygen,54,171922625,33.484416,33.406678,-1,1786042457.715
Falcon-1024,keygen,55,87317876,17.005619,16.967459,-1,1786042457.715
Falcon-1024,keygen,56,392566410,76.426560,76.287339,-1,1786042457.715
Falcon-1024,keygen,57,136364420,26.543705,26.498204,-1,1786042457.715
Falcon-1024,keygen,58,98955673,19.263349,19.229430,-1,1786042457.715
Falcon-1024,keygen,59,102796798,20.007607,19.974651,-1,1786042457.715
Falcon-1024,keygen,60,145287536,28.282285,28.231764,-1,1786042457.715
Falcon-1024,keygen,61,197588489,38.490931,38.399650,-1,1786042457.715
Falcon-1024,keygen,62,117356716,22.843538,22.805222,-1,1786042457.715
Falcon-1024,keygen,63,143341616,27.918332,27.859374,-1,1786042457.715
Falcon-1024,keygen,64,87770735,17.083446,17.054899,-1,1786042457.715
Falcon-1024,keygen,65,104427679,20.325262,20.291961,-1,1786042457.715
Falcon-1024,keygen,66,98189142,19.115373,19.079140,-1,1786042457.715
Falcon-1024,keygen,67,107133900,20.853242,20.817641,-1,1786042457.715
Falcon-1024,keygen,68,102812403,20.010167,19.977130,-1,1786042457.715
Falcon-1024,keygen,69,87236063,16.982649,16.951729,-1,1786042457.715
Falcon-1024,keygen,70,121061179,23.563066,23.524342,-1,1786042457.715
Falcon-1024,keygen,71,151763608,29.540314,29.489325,-1,1786042457.715
Falcon-1024,keygen,72,134419593,26.170821,26.122944,-1,1786042457.715
Falcon-1024,keygen,73,102260761,19.904759,19.870921,-1,1786042457.715
Falcon-1024,keygen,74,104967042,20.439489,20.397149,-1,1786042457.715
Falcon-1024,keygen,75,99950013,19.460477,19.421991,-1,1786042457.715
Falcon-1024,keygen,76,109420932,21.299195,21.261821,-1,1786042457.715
Falcon-1024,keygen,77,97372409,18.954955,18.921010,-1,1786042457.715
Falcon-1024,keygen,78,159534910,31.086837,31.005796,-1,1786042457.715
Falcon-1024,keygen,79,135658422,26.408207,26.360204,-1,1786042457.715
Falcon-1024,keygen,80,199800105,38.897643,38.823750,-1,1786042457.715
Falcon-1024,keygen,81,194840822,37.938360,37.864580,-1,1786042457.715
Falcon-1024,keygen,82,92253804,17.959762,17.926489,-1,1786042457.715
Falcon-1024,keygen,83,97815417,19.040334,19.006860,-1,1786042457.715
Falcon-1024,keygen,84,149893012,29.178769,29.125935,-1,1786042457.715
Falcon-1024,keygen,85,386196366,75.164742,75.042450,-1,1786042457.715
Falcon-1024,keygen,86,173176453,33.712182,33.651408,-1,1786042457.715
Falcon-1024,keygen,87,120018652,23.379839,23.327682,-1,1786042457.715
Falcon-1024,keygen,88,131074593,25.513723,25.470323,-1,1786042457.715
Falcon-1024,keygen,89,229937725,44.752223,44.679804,-1,1786042457.715
Falcon-1024,keygen,90,120534579,23.463057,23.422152,-1,1786042457.715
Falcon-1024,keygen,91,133784382,26.040654,25.996694,-1,1786042457.715
Falcon-1024,keygen,92,169386760,32.981424,32.917587,-1,1786042457.715
Falcon-1024,keygen,93,97236576,18.926826,18.894570,-1,1786042457.715
Falcon-1024,keygen,94,192024205,37.378949,37.313760,-1,1786042457.715
Falcon-1024,keygen,95,99414676,19.353268,19.318340,-1,1786042457.715
Falcon-1024,keygen,96,87770401,17.086067,17.055789,-1,1786042457.715
Falcon-1024,keygen,97,88310118,17.189696,17.160179,-1,1786042457.715
Falcon-1024,keygen,98,93869494,18.272447,18.241020,-1,1786042457.715
Falcon-1024,keygen,99,118275937,23.047274,22.983742,-1,1786042457.715
Falcon-1024,sign,0,29386565,5.724482,5.711033,1275,1786042460.445
Falcon-1024,sign,1,29303552,5.703142,5.694293,1264,1786042460.445
Falcon-1024,sign,2,29308824,5.707322,5.696073,1264,1786042460.445
