algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
ML-DSA-44 (Dilithium2),keygen,0,192928,0.052640,0.046160,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,1,192618,0.047879,0.046050,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,2,192027,0.047619,0.045870,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,3,192737,0.047769,0.046040,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,4,192882,0.047839,0.046080,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,5,192328,0.047829,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,6,193435,0.047940,0.046200,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,7,192179,0.047759,0.046010,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,8,192755,0.047789,0.046050,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,9,192508,0.047729,0.045990,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,10,192019,0.047599,0.045860,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,11,193173,0.047880,0.046140,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,12,194956,0.050749,0.047000,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,13,193603,0.047989,0.046250,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,14,193008,0.047839,0.046110,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,15,192333,0.047689,0.045940,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,16,191853,0.047559,0.045830,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,17,192745,0.047780,0.046040,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,18,192842,0.047799,0.046070,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,19,192756,0.047779,0.046050,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,20,192561,0.047739,0.046000,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,21,192640,0.047769,0.046020,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,22,192304,0.047680,0.045940,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,23,192243,0.047659,0.045930,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,24,192949,0.047809,0.046100,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,25,192506,0.047719,0.045990,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,26,192380,0.047679,0.045960,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,27,192196,0.047640,0.045911,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,28,192740,0.047769,0.046030,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,29,187544,0.046549,0.044810,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,30,187124,0.046449,0.044720,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,31,194748,0.048269,0.046510,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,32,192558,0.047720,0.045990,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,33,195754,0.051529,0.047620,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,34,192884,0.047809,0.046080,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,35,192319,0.047669,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,36,187799,0.046599,0.044880,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,37,193424,0.047929,0.046200,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,38,192360,0.047730,0.045980,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,39,188001,0.046649,0.044920,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,40,192735,0.047759,0.046040,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,41,192970,0.047819,0.046080,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,42,192079,0.047589,0.045870,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,43,192711,0.047779,0.046050,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,44,192393,0.047680,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,45,192655,0.047759,0.046020,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,46,192513,0.047719,0.045990,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,47,192384,0.047689,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,48,192494,0.047709,0.045980,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,49,187648,0.046569,0.044850,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,50,192319,0.047670,0.045940,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,51,192384,0.047689,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,52,192867,0.047809,0.046070,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,53,191972,0.047589,0.045860,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,54,194516,0.051019,0.047350,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,55,192150,0.047639,0.045900,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,56,192575,0.047740,0.046000,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,57,192401,0.047679,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,58,187750,0.046599,0.044870,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,59,192990,0.047839,0.046100,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,60,192657,0.047739,0.046010,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,61,192685,0.047740,0.046020,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,62,193262,0.047889,0.046160,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,63,192509,0.047709,0.045990,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,64,186897,0.046399,0.044660,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,65,192597,0.047729,0.046010,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,66,191982,0.047580,0.045860,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,67,192851,0.047799,0.046071,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,68,192368,0.047669,0.045940,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,69,192776,0.047779,0.046040,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,70,192537,0.047719,0.046000,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,71,192064,0.047610,0.045870,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,72,192564,0.047729,0.045990,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,73,192630,0.047739,0.046020,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,74,192745,0.047769,0.046040,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,75,195740,0.051459,0.047680,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,76,192186,0.047649,0.045910,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,77,192334,0.047680,0.045940,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,78,192394,0.047679,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,79,192235,0.047639,0.045910,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,80,192529,0.047709,0.045980,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,81,193534,0.047979,0.046250,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,82,193217,0.047879,0.046150,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,83,192917,0.047820,0.046090,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,84,192815,0.047779,0.046050,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,85,192248,0.047649,0.045920,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,86,192456,0.047689,0.045980,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,87,193042,0.047829,0.046110,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,88,192368,0.047679,0.045950,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,89,192538,0.047720,0.045990,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,90,187143,0.046479,0.044720,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,91,192428,0.047699,0.045960,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,92,192889,0.047819,0.046080,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,93,192811,0.047779,0.046050,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,94,192638,0.047749,0.046020,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,95,186998,0.046420,0.044690,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,96,196096,0.051649,0.047720,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,97,192387,0.047689,0.045960,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,98,192428,0.047689,0.045960,-1,1786042454.602
ML-DSA-44 (Dilithium2),keygen,99,192764,0.047779,0.046050,-1,1786042454.602
ML-DSA-44 (Dilithium2),sign,0,773261,0.185217,0.182660,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,1,311420,0.075729,0.073970,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,2,513016,0.123137,0.121390,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,3,422898,0.101929,0.100190,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,4,535842,0.131047,0.127360,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,5,453439,0.109129,0.107370,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,6,522970,0.125477,0.123741,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,7,433478,0.104409,0.102680,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,8,1179187,0.279875,0.278140,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,9,613579,0.146797,0.145060,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,10,411295,0.099198,0.097460,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,11,310894,0.078799,0.074300,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,12,423361,0.102038,0.100300,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,13,310004,0.075369,0.073630,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,14,1602531,0.379504,0.377750,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,15,310821,0.075558,0.073820,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,16,950601,0.226107,0.224360,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,17,310939,0.075578,0.073850,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,18,312713,0.078749,0.075140,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,19,497229,0.119408,0.117670,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,20,698780,0.166847,0.165111,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,21,766357,0.182747,0.181010,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,22,1544456,0.365833,0.364100,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,23,658854,0.161658,0.156590,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,24,832131,0.198226,0.196480,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,25,631083,0.150918,0.149180,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,26,912786,0.217226,0.215470,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,27,1001811,0.238136,0.236400,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,28,964669,0.232476,0.228550,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,29,507499,0.121838,0.120101,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,30,934376,0.222266,0.220540,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,31,310053,0.075369,0.073640,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,32,410842,0.099088,0.097350,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,33,432715,0.104238,0.102500,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,34,1197992,0.284305,0.282570,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,35,530971,0.130758,0.126510,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,36,412492,0.099468,0.097730,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,37,550286,0.131908,0.130170,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,38,310349,0.075449,0.073710,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,39,311001,0.075588,0.073860,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,40,310706,0.075519,0.073790,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,41,311021,0.075599,0.073860,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,42,3028291,0.718038,0.714101,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,43,1294442,0.307014,0.305260,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,44,826740,0.196937,0.195210,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,45,1312092,0.314175,0.310290,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,46,636951,0.152307,0.150550,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,47,311058,0.075619,0.073880,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,48,309475,0.075228,0.073500,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,49,1272543,0.301835,0.300100,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,50,309975,0.075349,0.073620,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,51,400914,0.096758,0.095021,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,52,312446,0.078839,0.075040,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,53,603741,0.144487,0.142750,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,54,512952,0.123128,0.121380,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,55,400796,0.096719,0.094990,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,56,741232,0.176837,0.175110,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,57,922539,0.219476,0.217750,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,58,1392173,0.332344,0.328700,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,59,1167938,0.277235,0.275500,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,60,1295913,0.307375,0.305630,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,61,1564178,0.372854,0.369181,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,62,640626,0.153157,0.151420,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,63,1151846,0.273445,0.271720,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,64,311450,0.075719,0.073980,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,65,310213,0.075419,0.073690,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,66,310514,0.075479,0.073740,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,67,629412,0.150517,0.148780,2420,1786042454.707
ML-DSA-44 (Dilithium2),sign,68,641386,0.155697,0.152050,2420,1786042454.707
