algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHA2-128s (SPHINCS+),keygen,0,214130963,41.682165,41.608472,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,1,217949807,42.429543,42.352652,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,2,217489931,42.337154,42.260592,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,3,215143378,41.887722,41.812222,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,4,216037687,42.048009,41.980732,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,5,215888212,42.021289,41.949392,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,6,216104002,42.061459,41.991792,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,7,213172358,41.514779,41.425622,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,8,213851872,41.623176,41.553182,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,9,215088310,41.860882,41.794382,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,10,216222900,42.089279,42.017702,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,11,215061959,42.083048,42.015182,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,12,214388639,41.725655,41.658462,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,13,214257071,41.703455,41.633182,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,14,213431232,41.554548,41.479192,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,15,213289717,41.532997,41.463112,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,16,216152189,42.074459,42.002602,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,17,213328703,41.532108,41.456942,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,18,216681540,42.179317,42.105522,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,19,213330711,41.523118,41.453532,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,20,213143067,41.493538,41.421182,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,21,214087315,41.676526,41.602752,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,22,216183884,42.078238,42.005872,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,23,213221480,41.503339,41.433552,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,24,213296490,41.509608,41.444992,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,25,213326231,41.521329,41.451541,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,26,215241920,41.903771,41.826502,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,27,213094175,41.480129,41.405792,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,28,215251866,41.892452,41.825932,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,29,213449943,41.546078,41.476602,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,30,214878402,41.819423,41.752312,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,31,215830160,42.007349,41.938562,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,32,213395310,41.550798,41.467302,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,33,213447159,41.548357,41.477522,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,34,213258110,41.508119,41.438242,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,35,213234739,41.512528,41.436192,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,36,215502645,41.944501,41.873442,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,37,216279408,42.093118,42.025632,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,38,215440083,41.953821,41.878682,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,39,213254641,41.503248,41.437662,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,40,213065271,41.466369,41.399832,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,41,213712971,41.600057,41.528851,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,42,213781007,41.608227,41.540342,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,43,214078795,41.665625,41.597632,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,44,215216232,41.901652,41.824381,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,45,213492796,41.557577,41.485252,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,46,213383933,41.532548,41.464522,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,47,213381294,41.540098,41.465482,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,48,213948463,41.641086,41.571162,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,49,213897632,41.624247,41.561882,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,50,213897133,41.632456,41.565361,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,51,213206119,41.494068,41.427262,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,52,213258763,41.508639,41.439632,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,53,213392022,41.530608,41.464262,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,54,215879945,42.015289,41.948712,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,55,213277890,41.509468,41.443172,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,56,216036384,42.045390,41.978852,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,57,214009514,41.668555,41.587352,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,58,214959961,41.842603,41.771592,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,59,216367148,42.109738,42.042352,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,60,214539505,41.756014,41.686752,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,61,213336318,41.530628,41.457172,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,62,213738041,41.606946,41.532922,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,63,214609672,41.805564,41.705231,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,64,215984045,42.048329,41.971722,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,65,216200196,42.080838,42.011082,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,66,214408793,41.776314,41.671312,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,67,213843364,41.623116,41.552872,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,68,216464602,42.127858,42.061942,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,69,216171939,42.072568,42.004542,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,70,215681129,41.997970,41.913562,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,71,214773497,41.808803,41.733322,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,72,216271460,42.097499,42.024852,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,73,215662372,42.012279,41.923072,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,74,217085270,42.288035,42.207723,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,75,216293400,42.110188,42.032602,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,76,216128519,42.067879,41.997262,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,77,213286074,41.519508,41.449892,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,78,213814400,41.625346,41.554382,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,79,213443165,41.548188,41.474642,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,80,216403877,42.117558,42.049752,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,81,214621415,41.797993,41.709122,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,82,216400649,42.118528,42.049212,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,83,216302650,42.105058,42.033421,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,84,213476703,41.568097,41.488592,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,85,213810879,41.611217,41.545032,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,86,214197186,41.698005,41.624552,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,87,213683971,41.634126,41.553602,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,88,214630596,41.771844,41.705211,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,89,213257689,41.509478,41.438082,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,90,213197512,41.498018,41.429622,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,91,213248057,41.500519,41.435722,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,92,213331284,41.525417,41.453982,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,93,213238372,41.498979,41.433482,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,94,215895656,42.020250,41.951862,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,95,215734715,41.997499,41.922271,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,96,213345993,41.529678,41.457022,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,97,213217534,41.503379,41.430481,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,98,213285575,41.520088,41.444612,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),keygen,99,213415967,41.542607,41.471372,-1,1786042461.407
SLH-DSA-SHA2-128s (SPHINCS+),sign,0,1639051932,319.033490,318.496628,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,1,1636915317,318.606447,318.077598,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,2,1640837352,319.387473,318.863987,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,3,1642010665,319.606199,319.077275,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,4,1630943232,317.634593,317.101395,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,5,1645206821,320.252629,319.710867,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,6,1633819103,318.016826,317.474178,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,7,1639570470,319.176056,318.627077,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,8,1636622642,318.529448,318.010818,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,9,1638774676,318.995289,318.442868,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,10,1647221920,320.617102,320.080028,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,11,1639327009,319.069958,318.542208,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,12,1641110140,319.479211,318.912318,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,13,1636386556,318.507468,317.970978,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,14,1636669991,318.526697,318.015957,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,15,1637779579,318.817412,318.255788,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,16,1639592936,319.104497,318.588288,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,17,1628959834,317.036453,316.523186,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,18,1639849756,319.191375,318.637688,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,19,1631866190,317.670621,317.136537,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,20,1641787048,319.553909,319.017448,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,21,1639808480,319.169316,318.637498,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,22,1629695863,317.223689,316.675066,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,23,1641977529,319.595548,319.068828,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,24,1634758879,318.163803,317.667558,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,25,1639609641,319.219644,318.624437,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,26,1643327257,319.864854,319.319718,7856,1786042465.943
SLH-DSA-SHA2-128s (SPHINCS+),sign,27,1636844209,318.629574,318.086746,7856,1786042465.943
