algorithm,operation,iteration,cycles,ms,cpu_ms,sig_len,epoch_start
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,0,302823383,60.422072,60.320902,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,1,303062677,60.444822,60.354122,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,2,302900739,60.435733,60.334092,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,3,303241700,60.493681,60.389982,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,4,303272051,60.602980,60.491511,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,5,302934047,60.526051,60.409222,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,6,302859293,60.477541,60.372322,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,7,302741325,60.484752,60.384352,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,8,302823454,60.562820,60.461672,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,9,302880029,60.505261,60.405212,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,10,302747876,60.466921,60.369401,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,11,302976747,60.553641,60.453172,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,12,303162933,60.531101,60.422842,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,13,302841934,60.496361,60.394142,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,14,302757530,60.521861,60.413042,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,15,302837748,60.530921,60.431712,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,16,302697024,60.437142,60.320701,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,17,302851504,60.450702,60.352272,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,18,302944433,60.485481,60.366972,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,19,302931922,60.468282,60.362632,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,20,306114323,61.156430,61.050232,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,21,302889875,60.523521,60.419262,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,22,303003748,60.572870,60.477702,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,23,302745041,60.453932,60.346771,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,24,302862834,60.516741,60.419412,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,25,302925794,60.497201,60.392302,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,26,303200516,60.502031,60.401542,-1,1786042498.607
SLH-DSA-SHAKE-128s (SPHINCS+),keygen,27,302967188,60.516011,60.411012,-1,1786042498.607
