algorithm,operation,workers,iters_per_worker,wall_seconds,total_ops,throughput_ops_per_sec,mean_latency_ms
RSA-3072,sign,1,200,3.066218,200,65.226925,15.330514
RSA-3072,sign,2,200,3.074121,400,130.118509,15.334204
RSA-3072,sign,3,200,3.063741,600,195.839022,15.308825
RSA-3072,sign,4,200,3.087290,800,259.126943,15.410648
RSA-3072,verify,1,200,0.056785,200,3522.061285,0.283461
RSA-3072,verify,2,200,0.056950,400,7023.704881,0.284104
RSA-3072,verify,3,200,0.056902,600,10544.533784,0.283811
RSA-3072,verify,4,200,0.056864,800,14068.604318,0.283648
ML-DSA-65 (Dilithium3),sign,1,200,0.112141,200,1783.463841,0.560279
ML-DSA-65 (Dilithium3),sign,2,200,0.122417,400,3267.520248,0.599310
ML-DSA-65 (Dilithium3),sign,3,200,0.124106,600,4834.581880,0.613621
ML-DSA-65 (Dilithium3),sign,4,200,0.119727,800,6681.881422,0.589131
ML-DSA-65 (Dilithium3),verify,1,200,0.046258,200,4323.542815,0.230891
ML-DSA-65 (Dilithium3),verify,2,200,0.046398,400,8621.022419,0.231315
ML-DSA-65 (Dilithium3),verify,3,200,0.046624,600,12868.938802,0.231069
ML-DSA-65 (Dilithium3),verify,4,200,0.046351,800,17259.431411,0.231122
Falcon-1024,sign,1,200,0.255715,200,782.120518,1.278110
Falcon-1024,sign,2,200,0.255675,400,1564.488697,1.277332
Falcon-1024,sign,3,200,0.255442,600,2348.866253,1.274671
Falcon-1024,sign,4,200,0.256546,800,3118.345123,1.278190
Falcon-1024,verify,1,200,0.036250,200,5517.283082,0.180810
Falcon-1024,verify,2,200,0.036273,400,11027.620081,0.180961
Falcon-1024,verify,3,200,0.036300,600,16529.151928,0.180974
Falcon-1024,verify,4,200,0.036570,800,21875.622430,0.182005
SLH-DSA-SHA2-128s (SPHINCS+),sign,1,200,233.838006,200,0.855293,1169.189229
SLH-DSA-SHA2-128s (SPHINCS+),sign,2,200,233.614737,400,1.712221,1167.560711
SLH-DSA-SHA2-128s (SPHINCS+),sign,3,200,233.759583,600,2.566740,1168.442815
SLH-DSA-SHA2-128s (SPHINCS+),sign,4,200,234.748414,800,3.407904,1173.517841
SLH-DSA-SHA2-128s (SPHINCS+),verify,1,200,0.227604,200,878.717615,1.137453
SLH-DSA-SHA2-128s (SPHINCS+),verify,2,200,0.244333,400,1637.112536,1.194336
SLH-DSA-SHA2-128s (SPHINCS+),verify,3,200,0.236512,600,2536.866537,1.140449
SLH-DSA-SHA2-128s (SPHINCS+),verify,4,200,0.233455,800,3426.786983,1.151576
