algorithm,operation,workers,iters_per_worker,wall_seconds,total_ops,throughput_ops_per_sec,mean_latency_ms
RSA-3072,sign,1,200,0.103517,200,1932.042231,0.517396
RSA-3072,sign,2,200,0.112410,400,3558.413705,0.545980
RSA-3072,sign,3,200,0.116400,600,5154.637182,0.558325
RSA-3072,sign,4,200,0.107643,800,7431.978354,0.530756
RSA-3072,sign,5,200,0.107572,1000,9296.091320,0.535051
RSA-3072,sign,6,200,0.117973,1200,10171.823890,0.562458
RSA-3072,verify,1,200,0.005670,200,35271.620578,0.028148
RSA-3072,verify,2,200,0.006469,400,61831.695978,0.029111
RSA-3072,verify,3,200,0.006101,600,98350.482106,0.028195
RSA-3072,verify,4,200,0.005997,800,133406.173104,0.028144
RSA-3072,verify,5,200,0.008474,1000,118010.378069,0.033341
RSA-3072,verify,6,200,0.010599,1200,113221.571691,0.038231
ML-DSA-65 (Dilithium3),sign,1,200,0.011515,200,17369.332897,0.057369
ML-DSA-65 (Dilithium3),sign,2,200,0.011559,400,34604.931930,0.057561
ML-DSA-65 (Dilithium3),sign,3,200,0.012704,600,47230.252677,0.061936
ML-DSA-65 (Dilithium3),sign,4,200,0.011704,800,68350.988821,0.056880
ML-DSA-65 (Dilithium3),sign,5,200,0.019263,1000,51912.710853,0.073339
ML-DSA-65 (Dilithium3),sign,6,200,0.019808,1200,60581.757530,0.071399
ML-DSA-65 (Dilithium3),verify,1,200,0.003701,200,54046.137025,0.018298
ML-DSA-65 (Dilithium3),verify,2,200,0.003759,400,106402.759449,0.018525
ML-DSA-65 (Dilithium3),verify,3,200,0.004293,600,139778.032484,0.020167
ML-DSA-65 (Dilithium3),verify,4,200,0.003759,800,212819.671774,0.018462
ML-DSA-65 (Dilithium3),verify,5,200,0.003978,1000,251400.552478,0.018697
ML-DSA-65 (Dilithium3),verify,6,200,0.003967,1200,302522.508305,0.019114
Falcon-1024,sign,1,200,0.045357,200,4409.442778,0.226613
Falcon-1024,sign,2,200,0.047791,400,8369.840660,0.234235
Falcon-1024,sign,3,200,0.048840,600,12285.019328,0.234654
Falcon-1024,sign,4,200,0.048082,800,16638.344046,0.236911
Falcon-1024,sign,5,200,0.049063,1000,20381.967030,0.237583
Falcon-1024,sign,6,200,0.049892,1200,24051.952217,0.240629
Falcon-1024,verify,1,200,0.009623,200,20783.049179,0.047877
Falcon-1024,verify,2,200,0.011032,400,36257.145830,0.051686
Falcon-1024,verify,3,200,0.010788,600,55615.372979,0.050863
Falcon-1024,verify,4,200,0.010793,800,74119.348643,0.051277
Falcon-1024,verify,5,200,0.010397,1000,96179.453933,0.050749
Falcon-1024,verify,6,200,0.011282,1200,106365.788579,0.051870
SLH-DSA-SHA2-128s (SPHINCS+),sign,1,200,62.917959,200,3.178743,314.589546
SLH-DSA-SHA2-128s (SPHINCS+),sign,2,200,66.154079,400,6.046490,325.697548
SLH-DSA-SHA2-128s (SPHINCS+),sign,3,200,66.067396,600,9.081635,328.888262
SLH-DSA-SHA2-128s (SPHINCS+),sign,4,200,66.583176,800,12.015047,331.291294
SLH-DSA-SHA2-128s (SPHINCS+),sign,5,200,67.496910,1000,14.815493,335.948751
SLH-DSA-SHA2-128s (SPHINCS+),sign,6,200,70.477728,1200,17.026656,340.865736
SLH-DSA-SHA2-128s (SPHINCS+),verify,1,200,0.066985,200,2985.740804,0.334747
SLH-DSA-SHA2-128s (SPHINCS+),verify,2,200,0.071467,400,5596.978404,0.340698
SLH-DSA-SHA2-128s (SPHINCS+),verify,3,200,0.073590,600,8153.303744,0.335109
SLH-DSA-SHA2-128s (SPHINCS+),verify,4,200,0.073093,800,10945.008297,0.327753
SLH-DSA-SHA2-128s (SPHINCS+),verify,5,200,0.071388,1000,14007.928067,0.331779
SLH-DSA-SHA2-128s (SPHINCS+),verify,6,200,0.075765,1200,15838.546294,0.350723
