algorithm,K,wall_seconds,total_ops,throughput_ops_per_sec
RSA-3072,1,3.668548107147217,100,27.258740264350322
RSA-3072,2,3.385578155517578,200,59.07410516400397
RSA-3072,4,4.4048168659210205,400,90.80967771775057
ML-DSA-65,1,0.2000865936279297,100,499.78360962031593
ML-DSA-65,2,0.1870250701904297,200,1069.3753505685584
ML-DSA-65,4,0.18941807746887207,400,2111.730861938105
Falcon-1024,1,0.20336246490478516,100,491.7328281146684
Falcon-1024,2,0.19376730918884277,200,1032.165853142353
Falcon-1024,4,0.25254273414611816,400,1583.8903516763419
SLH-DSA-SHA2-128s,1,122.816335439682,100,0.8142639262
SLH-DSA-SHA2-128s,2,123.02000880241394,200,1.6257517939315538
SLH-DSA-SHA2-128s,4,123.44427943229675,400,3.24032836385408
