algorithm,K,wall_seconds,total_ops,throughput_ops_per_sec
RSA-3072,1,0.2860867977142334,100,349.54426698112815
RSA-3072,2,0.14905691146850586,200,1341.7693821078392
RSA-3072,4,0.2796823978424072,400,1430.1936878608578
RSA-3072,8,0.273817777633667,800,2921.6510590130392
ML-DSA-65,1,0.015752315521240234,100,6348.273043741487
ML-DSA-65,2,0.008914470672607422,200,22435.431933672106
ML-DSA-65,4,0.010187864303588867,400,39262.399663008124
ML-DSA-65,8,0.01365804672241211,800,58573.52930908075
Falcon-1024,1,0.03939175605773926,100,2538.6022357932707
Falcon-1024,2,0.043088436126708984,200,4641.616590861304
Falcon-1024,4,0.0487520694732666,400,8204.779906201555
Falcon-1024,8,0.055112361907958984,800,14515.799582969225
SLH-DSA-SHA2-128s,1,33.03743052482605,100,3.0268697780493183
SLH-DSA-SHA2-128s,2,33.10710883140564,200,6.040998657372297
SLH-DSA-SHA2-128s,4,35.60202932357788,400,11.235314604246312
SLH-DSA-SHA2-128s,8,51.8478627204895,800,15.42975849000333
