algorithm,operation,instructions,cycles,ipc,cache_references,cache_misses,cache_miss_rate,branch_misses
ECDSA-P256,keygen,29278304,27781248,1.0539,8535145,198018,0.0232,90540
ECDSA-P256,sign,35179059,34992837,1.0053,8484796,175980,0.020741,88538
ECDSA-P256,verify,80269715,71400392,1.1242,13610468,149688,0.010998,84791
Falcon-1024,keygen,16057714268,9556736096,1.6803,2636345716,2400731,0.000911,10155980
Falcon-1024,sign,454060762,333359561,1.3621,123733228,940077,0.007598,513872
Falcon-1024,verify,252751264,144084665,1.7542,46492002,117022,0.002517,238146
Falcon-512,keygen,5852822925,3403430959,1.7197,973651286,222588,0.000229,5701313
Falcon-512,sign,257126477,179232948,1.4346,67606470,360030,0.005325,337545
Falcon-512,verify,91615922,55426206,1.6529,18069773,87763,0.004857,127990
ML-DSA-44,keygen,96790215,50612438,1.9124,22716456,159291,0.007012,114724
ML-DSA-44,sign,382990358,204439498,1.8734,93736977,293985,0.003136,313480
ML-DSA-44,verify,110286943,54774346,2.0135,26533473,115471,0.004352,116776
ML-DSA-65,keygen,154412322,81357237,1.898,35206903,176012,0.004999,369708
ML-DSA-65,sign,645598447,284659053,2.268,157127330,464906,0.002959,491041
ML-DSA-65,verify,169035747,81119560,2.0838,39527310,172713,0.004369,134619
ML-DSA-87,keygen,245220277,117699950,2.0834,54599656,267998,0.004908,163690
ML-DSA-87,sign,873494747,384913143,2.2693,210744401,758727,0.0036,624613
ML-DSA-87,verify,266344863,124808555,2.134,60800196,220624,0.003629,172961
RSA-3072,keygen,215706105747,236685304954,0.9114,33248346466,201750370,0.006068,68831369
RSA-3072,sign,4647108084,5098426050,0.9115,703082457,3101986,0.004412,1393919
RSA-3072,verify,1234707715,1303195652,0.9474,207551262,678357,0.003268,539901
SLH_DSA_PURE_SHA2_128S,keygen,61694990697,28835494205,2.1396,6229754154,165308,2.7e-05,6033381
SLH_DSA_PURE_SHA2_128S,sign,471840215710,220391506393,2.1409,48796894842,493081,1e-05,65898074
SLH_DSA_PURE_SHA2_128S,verify,5575158654,2614496289,2.1324,579168594,79536,0.000137,851528
SLH_DSA_PURE_SHA2_192S,keygen,89696030879,42129239563,2.1291,9090661371,191432,2.1e-05,8598781
SLH_DSA_PURE_SHA2_192S,sign,837262843122,393452997833,2.128,91939677036,1283222,1.4e-05,184506102
SLH_DSA_PURE_SHA2_192S,verify,9515386927,4467543663,2.1299,1039364530,97091,9.3e-05,2061155
SLH_DSA_PURE_SHA2_256S,keygen,59246934939,27600206251,2.1466,5946489009,178841,3e-05,5632378
SLH_DSA_PURE_SHA2_256S,sign,744343716657,348007227207,2.1389,83821158659,947288,1.1e-05,205505966
SLH_DSA_PURE_SHA2_256S,verify,8683642462,4068176921,2.1345,968420879,102309,0.000106,2269884
SLH_DSA_PURE_SHAKE_128S,keygen,119786198962,69492415419,1.7237,26107935112,225654,9e-06,9842473
SLH_DSA_PURE_SHAKE_128S,sign,926376205016,534695706076,1.7325,204658623396,1672431,8e-06,99816761
SLH_DSA_PURE_SHAKE_128S,verify,10832341918,6259719986,1.7305,2391741817,92317,3.9e-05,1234229
SLH_DSA_PURE_SHAKE_256S,keygen,116503341714,67339525046,1.7301,25553715957,250579,1e-05,9917641
SLH_DSA_PURE_SHAKE_256S,sign,1542164364648,867131432996,1.7785,363713941753,1674041,5e-06,616396208
SLH_DSA_PURE_SHAKE_256S,verify,17707665186,10001756480,1.7705,4134655984,105281,2.5e-05,6334695
