algorithm,operation,instructions,cycles,ipc,cache_references,cache_misses,cache_miss_rate,branch_misses
Falcon-1024,keygen,15950393240,9461011689,1.6859,2622846177,1518023,0.000579,9951070
Falcon-1024,sign,483140929,344968695,1.4005,129399727,763559,0.005901,504308
Falcon-1024,verify,197469626,118304088,1.6692,35545170,114673,0.003226,236331
Falcon-512,keygen,5544135463,3253041443,1.7043,913657815,464696,0.000509,5374655
Falcon-512,sign,295869476,197292273,1.4997,75063443,321362,0.004281,355424
Falcon-512,verify,89638780,54437326,1.6466,17674219,93015,0.005263,127283
ML-DSA-44,keygen,60819495,38570529,1.5768,14856605,158865,0.010693,68459
ML-DSA-44,sign,123298890,80534342,1.531,32279471,397593,0.012317,94785
ML-DSA-44,verify,59195490,37385656,1.5834,14710165,130065,0.008842,65303
ML-DSA-65,keygen,97445863,58375335,1.6693,22767628,196029,0.00861,69974
ML-DSA-65,sign,186846760,119938997,1.5578,47986595,572786,0.011936,105018
ML-DSA-65,verify,92744795,55663850,1.6662,21929045,159751,0.007285,67438
ML-DSA-87,keygen,158406543,90762765,1.7453,35899161,289951,0.008077,82249
ML-DSA-87,sign,260317079,161576371,1.6111,64622478,820792,0.012701,110842
ML-DSA-87,verify,153695239,89026594,1.7264,35104268,249855,0.007118,81339
SLH_DSA_PURE_SHA2_128S,keygen,61694993902,28798751668,2.1423,6231433347,155705,2.5e-05,6022504
SLH_DSA_PURE_SHA2_128S,sign,471840228950,221105217901,2.134,48858907914,522851,1.1e-05,67961818
SLH_DSA_PURE_SHA2_128S,verify,5547136855,2599282431,2.1341,576344097,81126,0.000141,852630
SLH_DSA_PURE_SHA2_192S,keygen,89696034670,42199020853,2.1255,9096454246,960326,0.000106,8682456
SLH_DSA_PURE_SHA2_192S,sign,837262885458,393465866528,2.1279,92150573300,2601113,2.8e-05,184045115
SLH_DSA_PURE_SHA2_192S,verify,9496472605,4495314389,2.1125,1040040067,107164,0.000103,2013715
SLH_DSA_PURE_SHA2_256S,keygen,59246938040,27629478176,2.1443,5946592661,198028,3.3e-05,5652931
SLH_DSA_PURE_SHA2_256S,sign,744346183544,348898166670,2.1334,84180183698,1349521,1.6e-05,204824481
SLH_DSA_PURE_SHA2_256S,verify,8683726637,4073597562,2.1317,970465761,96815,0.0001,2250197
SLH_DSA_PURE_SHAKE_128S,keygen,119786199961,69503554043,1.7235,26107890227,161548,6e-06,10384158
SLH_DSA_PURE_SHAKE_128S,sign,926374352807,534724287341,1.7324,204658011418,692684,3e-06,99623361
SLH_DSA_PURE_SHAKE_128S,verify,10838272894,6269967236,1.7286,2393493905,85675,3.6e-05,1547467
SLH_DSA_PURE_SHAKE_256S,keygen,116503342729,67348486637,1.7299,25553656955,286575,1.1e-05,9928335
SLH_DSA_PURE_SHAKE_256S,sign,1542166906466,867177152803,1.7784,363714507569,2144731,6e-06,614665148
SLH_DSA_PURE_SHAKE_256S,verify,17695542457,9997416678,1.77,4131915052,103186,2.5e-05,6321243
