algorithm,operation,instructions,cycles,ipc,cache_references,cache_misses,cache_miss_rate,branch_misses
ECDSA-P256,keygen,25393376,10184185,2.4934,756141,30381,0.040179,56949
ECDSA-P256,sign,32433229,13108775,2.4742,760203,33830,0.044501,56479
ECDSA-P256,verify,83272348,29283982,2.8436,693039,46080,0.06649,58347
Falcon-1024,keygen,19736772523,6669893633,2.9591,2998820,227122,0.075737,2564044
Falcon-1024,sign,669233617,230591147,2.9023,2087181,33759,0.016174,308202
Falcon-1024,verify,305241566,94844962,3.2183,205157,30056,0.146502,88022
Falcon-512,keygen,7066282336,2238951902,3.1561,824592,40545,0.04917,607547
Falcon-512,sign,275425292,94180064,2.9245,776789,30123,0.038779,169245
Falcon-512,verify,130335596,40089090,3.2511,180248,30627,0.169916,66821
ML-DSA-44,keygen,29836834,10008736,2.9811,351903,26511,0.075336,50890
ML-DSA-44,sign,69276224,20173644,3.434,887461,26819,0.03022,50753
ML-DSA-44,verify,31923020,9981062,3.1984,238675,27319,0.114461,45988
ML-DSA-65,keygen,43974019,13515344,3.2536,410257,31942,0.077859,58285
ML-DSA-65,sign,109470110,30101226,3.6367,1343215,31074,0.023134,53306
ML-DSA-65,verify,46220660,13839655,3.3397,296012,30636,0.103496,47755
ML-DSA-87,keygen,64061456,18750086,3.4166,596380,32370,0.054277,56222
ML-DSA-87,sign,136415029,37307477,3.6565,1843763,31004,0.016816,54191
ML-DSA-87,verify,65909190,18379550,3.586,480668,30252,0.062937,47724
RSA-3072,keygen,164890888851,59209999530,2.7848,45139393,921554,0.020416,2464077
RSA-3072,sign,2889240937,978337443,2.9532,983708,40563,0.041235,97565
RSA-3072,verify,738805435,263328451,2.8056,472627,41494,0.087794,74715
SLH_DSA_PURE_SHA2_128S,keygen,109797523234,22190420048,4.948,1432463,108646,0.075846,217745
SLH_DSA_PURE_SHA2_128S,sign,837255968388,169995834441,4.9252,10750070,508720,0.047322,2120515
SLH_DSA_PURE_SHA2_128S,verify,9855843258,1997679723,4.9336,257706,30349,0.117766,68436
SLH_DSA_PURE_SHA2_192S,keygen,159606683301,32333188200,4.9363,2158970,71238,0.032996,233023
SLH_DSA_PURE_SHA2_192S,sign,1476448080296,298993987131,4.9381,46409395,242897,0.005234,5508936
SLH_DSA_PURE_SHA2_192S,verify,16825582951,3405795068,4.9403,381444,30962,0.08117,115577
SLH_DSA_PURE_SHA2_256S,keygen,105382866695,21407366252,4.9227,2564123,119219,0.046495,164012
SLH_DSA_PURE_SHA2_256S,sign,1306577084444,264557152857,4.9387,20154023,372539,0.018485,6291236
SLH_DSA_PURE_SHA2_256S,verify,15339218339,3109282887,4.9334,457159,29994,0.06561,111166
SLH_DSA_PURE_SHAKE_128S,keygen,193700993569,36830446128,5.2593,1246087,67942,0.054524,317540
SLH_DSA_PURE_SHAKE_128S,sign,1485803809798,287682716188,5.1647,8759700,229250,0.026171,5581681
SLH_DSA_PURE_SHAKE_128S,verify,17425727361,3292052943,5.2933,310611,34741,0.111847,136232
SLH_DSA_PURE_SHAKE_256S,keygen,187310378914,35228274347,5.317,1233734,52956,0.042923,223720
SLH_DSA_PURE_SHAKE_256S,sign,2356527240915,442689548191,5.3232,14936051,332129,0.022237,46843176
SLH_DSA_PURE_SHAKE_256S,verify,27343975630,5140615325,5.3192,455844,29742,0.065246,567202
