algorithm,operation,instructions,cycles,ipc,cache_references,cache_misses,cache_miss_rate,branch_misses
Falcon-1024,keygen,20401937590,6921150648,2.9478,2330296,34475,0.014794,2522961
Falcon-1024,sign,512214281,180838055,2.8324,2204244,35265,0.015999,290066
Falcon-1024,verify,274010168,86073826,3.1834,201358,32692,0.162358,91166
Falcon-512,keygen,6880437315,2191304728,3.1399,768296,39595,0.051536,594394
Falcon-512,sign,234764846,80532315,2.9152,669854,32180,0.04804,169573
Falcon-512,verify,124442108,37895004,3.2839,173679,31249,0.179924,66967
ML-DSA-44,keygen,30199512,9651860,3.1289,412041,26389,0.064045,50402
ML-DSA-44,sign,87288417,25046045,3.4851,1217857,26862,0.022057,63772
ML-DSA-44,verify,32842154,10231346,3.21,321386,27321,0.08501,46209
ML-DSA-65,keygen,46242967,13646189,3.3887,636038,26188,0.041174,56230
ML-DSA-65,sign,127068893,34661605,3.666,1712072,31109,0.01817,72618
ML-DSA-65,verify,47923275,14398203,3.3284,456296,26660,0.058427,46723
ML-DSA-87,keygen,64992835,18327090,3.5463,778956,26936,0.03458,55706
ML-DSA-87,sign,132108529,36714106,3.5983,1819507,33901,0.018632,79458
ML-DSA-87,verify,66941402,18797916,3.5611,677143,28056,0.041433,48357
SLH_DSA_PURE_SHA2_128S,keygen,109797523221,22172984630,4.9519,999320,42992,0.043021,204086
SLH_DSA_PURE_SHA2_128S,sign,837257597703,169824973402,4.9301,56648539,98629,0.001741,1961128
SLH_DSA_PURE_SHA2_128S,verify,9839321960,1994229950,4.9339,232993,29766,0.127755,67831
SLH_DSA_PURE_SHA2_192S,keygen,159606683867,32139303102,4.9661,1728440,30511,0.017652,215797
SLH_DSA_PURE_SHA2_192S,sign,1476448375381,297621577274,4.9608,14474152,67226,0.004645,5396097
SLH_DSA_PURE_SHA2_192S,verify,16792273230,3393215318,4.9488,357142,29260,0.081928,117541
SLH_DSA_PURE_SHA2_256S,keygen,105381577471,21263156193,4.9561,1951855,30433,0.015592,143177
SLH_DSA_PURE_SHA2_256S,sign,1306576473971,264584323247,4.9382,17933342,91644,0.00511,6011170
SLH_DSA_PURE_SHA2_256S,verify,15216092590,3084694677,4.9328,409706,32020,0.078154,116299
SLH_DSA_PURE_SHAKE_128S,keygen,193700994473,36724080786,5.2745,974194,31348,0.032178,290310
SLH_DSA_PURE_SHAKE_128S,sign,1485803895516,279639713109,5.3133,6004970,81963,0.013649,5423666
SLH_DSA_PURE_SHAKE_128S,verify,17495031712,3301132605,5.2997,248445,30082,0.121081,134038
SLH_DSA_PURE_SHAKE_256S,keygen,187310378812,36739388977,5.0984,1230848,35703,0.029007,208204
SLH_DSA_PURE_SHAKE_256S,sign,2356529026412,445052272831,5.2949,10938206,92480,0.008455,46587184
SLH_DSA_PURE_SHAKE_256S,verify,27284289514,5136186507,5.3122,349207,32438,0.09289,569367
