algorithm,security_level,operation,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHA2-128s (SPHINCS+),1,keygen,152.405527,152.365497,0.162461,152.734055,152.889940,0,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,sign,1167.102313,1166.991847,0.483828,1168.070460,1168.709927,0,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,verify,1.154414,1.152962,0.003090,1.157647,1.160554,0,32,64,7856
SLH-DSA-SHA2-192s (SPHINCS+),3,keygen,222.615414,222.576999,0.215254,223.104206,223.308340,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,sign,2085.232435,2085.099171,0.861068,2086.719539,2087.352863,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,verify,1.745960,1.743727,0.004004,1.749616,1.753319,0,48,96,16224
SLH-DSA-SHA2-256s (SPHINCS+),5,keygen,146.520945,146.489900,0.178845,146.897006,147.030098,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,sign,1844.170731,1844.070718,1.288456,1845.507962,1846.203013,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,verify,2.518028,2.518568,0.005418,2.524735,2.535142,0,64,128,29792
SLH-DSA-SHAKE-128s (SPHINCS+),1,keygen,367.724504,367.721849,0.049198,367.787970,367.861263,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,sign,2836.090005,2836.072200,0.325528,2836.292969,2836.946105,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify,2.903347,2.903876,0.003904,2.905561,2.916356,0,32,64,7856
SLH-DSA-SHAKE-256s (SPHINCS+),5,keygen,356.571516,356.568239,0.048200,356.638772,356.717725,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,sign,4588.857939,4588.763762,0.389474,4589.481343,4589.862469,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,verify,6.001750,6.002471,0.005641,6.005378,6.029730,0,64,128,29792
Falcon-512,1,keygen,18.175001,16.428496,5.711061,29.284571,39.063366,0,897,1281,752
Falcon-512,1,sign,0.630449,0.629415,0.007315,0.642544,0.649063,0,897,1281,653
Falcon-512,1,verify,0.091744,0.091554,0.001623,0.091739,0.097294,0,897,1281,651
Falcon-1024,5,keygen,50.515543,45.502717,14.072985,80.157361,107.893422,0,1793,2305,1462
Falcon-1024,5,sign,1.273720,1.273524,0.011093,1.289311,1.297588,0,1793,2305,1265
Falcon-1024,5,verify,0.180904,0.180580,0.001520,0.181516,0.186738,0,1793,2305,1264
ML-DSA-44 (Dilithium2),2,keygen,0.148671,0.148665,0.001852,0.149516,0.156183,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,sign,0.387610,0.316652,0.202592,0.800597,1.034074,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify,0.136293,0.136034,0.001310,0.136239,0.142887,0,1312,2560,2420
ML-DSA-65 (Dilithium3),3,keygen,0.251970,0.251514,0.001728,0.258107,0.258829,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,sign,0.614867,0.516112,0.352992,1.340922,1.836857,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify,0.229679,0.229200,0.002868,0.235644,0.236682,0,1952,4032,3309
ML-DSA-87 (Dilithium5),5,keygen,0.422366,0.422067,0.004276,0.429122,0.430363,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,sign,0.807506,0.716683,0.362466,1.502456,2.047724,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify,0.396722,0.395956,0.002767,0.402678,0.403604,0,2592,4896,4627
