algorithm,security_level,operation,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHA2-128s (SPHINCS+),1,keygen,41.279130,41.247169,0.313949,41.511679,42.143380,0,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,sign,314.642185,314.278759,0.965876,316.068454,317.872830,0,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,verify,0.301658,0.300976,0.001956,0.305366,0.307446,0,32,64,7856
SLH-DSA-SHA2-192s (SPHINCS+),3,keygen,59.917860,59.892632,0.313356,60.109399,60.517885,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,sign,556.017041,555.661688,1.498549,557.475531,562.934066,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,verify,0.461979,0.461933,0.003506,0.464863,0.473222,0,48,96,16224
SLH-DSA-SHA2-256s (SPHINCS+),5,keygen,39.427629,39.411461,0.215180,39.460006,39.642132,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,sign,490.014911,489.914380,0.603737,490.720196,491.335763,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,verify,0.688292,0.688619,0.001760,0.691300,0.693019,0,64,128,29792
SLH-DSA-SHAKE-128s (SPHINCS+),1,keygen,68.734149,68.721665,0.118057,68.925187,69.113684,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,sign,523.965906,523.930421,0.796643,525.159080,525.696787,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify,0.510337,0.509490,0.002907,0.514995,0.517115,0,32,64,7856
SLH-DSA-SHAKE-256s (SPHINCS+),5,keygen,66.597299,66.563207,0.438989,66.763773,67.111526,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,sign,831.528137,831.320279,1.585331,834.416915,836.473941,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,verify,1.089535,1.088869,0.003914,1.094279,1.098889,0,64,128,29792
Falcon-512,1,keygen,4.036301,3.764657,1.026260,6.163480,7.741770,0,897,1281,752
Falcon-512,1,sign,0.116403,0.116098,0.003446,0.119238,0.120808,0,897,1281,653
Falcon-512,1,verify,0.024045,0.023979,0.000400,0.024059,0.026620,0,897,1281,651
Falcon-1024,5,keygen,12.288513,11.212983,3.217195,18.755118,26.160284,0,1793,2305,1462
Falcon-1024,5,sign,0.231511,0.231336,0.002162,0.235335,0.236855,0,1793,2305,1269
Falcon-1024,5,verify,0.047347,0.047189,0.000592,0.047969,0.050269,0,1793,2305,1272
ML-DSA-44 (Dilithium2),2,keygen,0.010693,0.010640,0.000371,0.010950,0.012400,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,sign,0.035881,0.028509,0.021115,0.077958,0.102678,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify,0.011287,0.011250,0.000256,0.011320,0.013110,0,1312,2560,2420
ML-DSA-65 (Dilithium3),3,keygen,0.020662,0.022159,0.001907,0.022360,0.024450,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,sign,0.055704,0.046834,0.034571,0.120207,0.184367,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify,0.018949,0.018900,0.000361,0.019119,0.021180,0,1952,4032,3309
ML-DSA-87 (Dilithium5),5,keygen,0.028136,0.027589,0.001673,0.033129,0.033289,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,sign,0.065831,0.056579,0.031555,0.129047,0.170847,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify,0.027172,0.027090,0.000427,0.027180,0.029909,0,2592,4896,4627
