algorithm,security_level,operation,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHA2-128s (SPHINCS+),1,keygen,152.792763,152.773486,0.091355,152.871029,153.309557,4,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,sign,1166.848555,1166.873303,0.272272,1167.189208,1167.580823,0,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,verify,1.092925,1.091652,0.002882,1.096355,1.098726,0,32,64,7856
SLH-DSA-SHA2-192s (SPHINCS+),3,keygen,223.238737,223.242480,0.061904,223.321713,223.377618,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,sign,2085.092297,2085.223898,1.003629,2086.567973,2087.030792,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,verify,1.739664,1.738381,0.003940,1.743455,1.746307,0,48,96,16224
SLH-DSA-SHA2-256s (SPHINCS+),5,keygen,146.503279,146.489745,0.067652,146.578498,146.672789,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,sign,1846.074809,1846.169907,1.417373,1848.127822,1848.517927,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,verify,2.529051,2.529220,0.023255,2.531610,2.555646,0,64,128,29792
SLH-DSA-SHAKE-128s (SPHINCS+),1,keygen,368.117582,368.113320,0.096192,368.219007,368.637874,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,sign,2835.661798,2836.910763,2.975247,2837.364845,2837.555401,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify,2.923792,2.924350,0.004797,2.926831,2.940349,0,32,64,7856
SLH-DSA-SHAKE-256s (SPHINCS+),5,keygen,356.689069,356.683222,0.072106,356.793528,356.932898,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,sign,4590.106444,4590.095655,0.403529,4590.778205,4591.150597,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,verify,5.722675,5.721750,0.006111,5.727333,5.748296,0,64,128,29792
Falcon-512,1,keygen,17.847583,15.996358,5.211854,29.204993,37.104613,0,897,1281,752
Falcon-512,1,sign,0.633676,0.632825,0.007558,0.645918,0.652176,0,897,1281,652
Falcon-512,1,verify,0.091452,0.091296,0.000957,0.091517,0.096758,0,897,1281,654
Falcon-1024,5,keygen,50.100090,45.574908,12.959087,76.654926,100.891575,0,1793,2305,1462
Falcon-1024,5,sign,1.275871,1.275928,0.009948,1.292168,1.298983,0,1793,2305,1273
Falcon-1024,5,verify,0.181149,0.180868,0.001540,0.181794,0.186924,0,1793,2305,1270
ML-DSA-44 (Dilithium2),2,keygen,0.210727,0.210238,0.003137,0.215442,0.219331,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,sign,0.905294,0.723388,0.552179,1.934122,2.979165,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify,0.224713,0.224256,0.002869,0.229960,0.231182,0,1312,2560,2420
ML-DSA-65 (Dilithium3),3,keygen,0.373312,0.371653,0.013595,0.379384,0.395402,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,sign,1.522127,1.266566,1.010828,3.539584,4.806937,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify,0.359291,0.358643,0.002914,0.364606,0.366217,0,1952,4032,3309
ML-DSA-87 (Dilithium5),5,keygen,0.563869,0.563197,0.003947,0.570808,0.573734,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,sign,1.776608,1.522850,1.011656,3.729711,5.367300,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify,0.586331,0.585067,0.004527,0.591714,0.596733,0,2592,4896,4627
