algorithm,operation,mean_ms_x86,mean_ms_arm,ratio
ECDSA-P256,keygen,0.008727,0.074906,8.583247393147703
ECDSA-P256,sign,0.013598,0.104456,7.68171789969113
ECDSA-P256,verify,0.042435,0.2964,6.984800282785437
Falcon-1024,keygen,12.374888,50.10009,4.048528762442133
Falcon-1024,sign,0.237733,1.275871,5.366823284945716
Falcon-1024,verify,0.048489,0.181149,3.735878240425664
Falcon-512,keygen,4.09724,17.847583,4.356001357011061
Falcon-512,sign,0.117036,0.633676,5.4143682285792405
Falcon-512,verify,0.024321,0.091452,3.7602072283212045
ML-DSA-44,keygen,0.011502,0.210727,18.320900712919492
ML-DSA-44,sign,0.039219,0.905294,23.083046482572225
ML-DSA-44,verify,0.012844,0.224713,17.495562130177515
ML-DSA-65,keygen,0.017962,0.373312,20.78343168912148
ML-DSA-65,sign,0.054387,1.522127,27.986963796495488
ML-DSA-65,verify,0.018306,0.359291,19.62695291161368
ML-DSA-87,keygen,0.028559,0.563869,19.744003641584086
ML-DSA-87,sign,0.064444,1.776608,27.568245298243436
ML-DSA-87,verify,0.026175,0.586331,22.400420248328558
RSA-3072,keygen,110.476464,1285.869145,11.639303960706053
RSA-3072,sign,0.514985,15.32347,29.755177335262193
RSA-3072,verify,0.02574,0.275404,10.6994560994561
SLH-DSA-SHA2-128s,keygen,41.88714,152.792763,3.6477248864448613
SLH-DSA-SHA2-128s,sign,319.523735,1166.848555,3.651836865890417
SLH-DSA-SHA2-128s,verify,0.327312,1.092925,3.339092364471819
SLH-DSA-SHA2-192s,keygen,61.038142,223.238737,3.657364554117653
SLH-DSA-SHA2-192s,sign,564.681617,2085.092297,3.6925096093574448
SLH-DSA-SHA2-192s,verify,0.463265,1.739664,3.7552243316460343
SLH-DSA-SHA2-256s,keygen,39.860486,146.503279,3.675401223156185
SLH-DSA-SHA2-256s,sign,495.766781,1846.074809,3.7236758890467088
SLH-DSA-SHA2-256s,verify,0.674503,2.529051,3.749502967370049
SLH-DSA-SHAKE-128s,keygen,70.098214,368.117582,5.251454509240421
SLH-DSA-SHAKE-128s,sign,534.819107,2835.661798,5.302095158690731
SLH-DSA-SHAKE-128s,verify,0.512703,2.923792,5.702701173974016
SLH-DSA-SHAKE-256s,keygen,68.224326,356.689069,5.228180180189687
SLH-DSA-SHAKE-256s,sign,849.167061,4590.106444,5.40542215402771
SLH-DSA-SHAKE-256s,verify,1.113311,5.722675,5.1402303579143656
