algorithm,security_level,operation,mean_ms,median_ms,std_ms,p95_ms,p99_ms,peak_mem_delta_kb,pub_key_bytes,priv_key_bytes,sig_bytes
SLH-DSA-SHA2-128s (SPHINCS+),1,keygen,41.887140,41.825868,0.374184,42.177184,42.699505,0,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,sign,319.523735,318.924304,2.488439,322.037861,333.038015,0,32,64,7856
SLH-DSA-SHA2-128s (SPHINCS+),1,verify,0.327312,0.326777,0.002946,0.332312,0.334971,0,32,64,7856
SLH-DSA-SHA2-192s (SPHINCS+),3,keygen,61.038142,60.969357,0.991432,61.353982,62.669469,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,sign,564.681617,563.570603,4.535839,572.064481,583.780647,0,48,96,16224
SLH-DSA-SHA2-192s (SPHINCS+),3,verify,0.463265,0.462437,0.008650,0.468782,0.478601,0,48,96,16224
SLH-DSA-SHA2-256s (SPHINCS+),5,keygen,39.860486,39.844573,0.111855,39.991866,40.224817,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,sign,495.766781,495.603431,1.154949,496.963579,499.623027,0,64,128,29792
SLH-DSA-SHA2-256s (SPHINCS+),5,verify,0.674503,0.673960,0.009839,0.679890,0.684070,0,64,128,29792
SLH-DSA-SHAKE-128s (SPHINCS+),1,keygen,70.098214,70.072379,0.166271,70.278559,70.808059,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,sign,534.819107,534.346672,2.013552,538.398122,543.664333,0,32,64,7856
SLH-DSA-SHAKE-128s (SPHINCS+),1,verify,0.512703,0.507692,0.021910,0.554732,0.631081,0,32,64,7856
SLH-DSA-SHAKE-256s (SPHINCS+),5,keygen,68.224326,68.192091,0.229309,68.464991,69.106472,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,sign,849.167061,848.986480,1.646332,850.669085,855.331739,0,64,128,29792
SLH-DSA-SHAKE-256s (SPHINCS+),5,verify,1.113311,1.111788,0.005551,1.122997,1.129747,0,64,128,29792
Falcon-512,1,keygen,4.097240,3.770160,1.097165,6.431901,8.224665,0,897,1281,752
Falcon-512,1,sign,0.117036,0.116672,0.002104,0.120527,0.126417,0,897,1281,656
Falcon-512,1,verify,0.024321,0.024139,0.000858,0.024480,0.027639,0,897,1281,657
Falcon-1024,5,keygen,12.374888,11.237916,3.125460,19.139736,24.486641,0,1793,2305,1462
Falcon-1024,5,sign,0.237733,0.236235,0.007157,0.246655,0.259475,0,1793,2305,1267
Falcon-1024,5,verify,0.048489,0.047849,0.002060,0.052019,0.057629,0,1793,2305,1269
ML-DSA-44 (Dilithium2),2,keygen,0.011502,0.010400,0.001514,0.012960,0.015420,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,sign,0.039219,0.031190,0.024077,0.085268,0.128988,0,1312,2560,2420
ML-DSA-44 (Dilithium2),2,verify,0.012844,0.012724,0.000687,0.012989,0.015460,0,1312,2560,2420
ML-DSA-65 (Dilithium3),3,keygen,0.017962,0.017270,0.001595,0.021040,0.021320,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,sign,0.054387,0.042864,0.036996,0.119667,0.200296,0,1952,4032,3309
ML-DSA-65 (Dilithium3),3,verify,0.018306,0.016930,0.002121,0.022690,0.024790,0,1952,4032,3309
ML-DSA-87 (Dilithium5),5,keygen,0.028559,0.026729,0.002819,0.032189,0.036060,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,sign,0.064444,0.053729,0.033801,0.129157,0.202796,0,2592,4896,4627
ML-DSA-87 (Dilithium5),5,verify,0.026175,0.026040,0.000842,0.026199,0.029289,0,2592,4896,4627
